Code,Frame Type,Reference
0x00,DATA,"[RFC-ietf-httpbis-http2bis-07, Section 6.1]"
0x01,HEADERS,"[RFC-ietf-httpbis-http2bis-07, Section 6.2]"
0x02,PRIORITY,"[RFC-ietf-httpbis-http2bis-07, Section 6.3]"
0x03,RST_STREAM,"[RFC-ietf-httpbis-http2bis-07, Section 6.4]"
0x04,SETTINGS,"[RFC-ietf-httpbis-http2bis-07, Section 6.5]"
0x05,PUSH_PROMISE,"[RFC-ietf-httpbis-http2bis-07, Section 6.6]"
0x06,PING,"[RFC-ietf-httpbis-http2bis-07, Section 6.7]"
0x07,GOAWAY,"[RFC-ietf-httpbis-http2bis-07, Section 6.8]"
0x08,WINDOW_UPDATE,"[RFC-ietf-httpbis-http2bis-07, Section 6.9]"
0x09,CONTINUATION,"[RFC-ietf-httpbis-http2bis-07, Section 6.10]"
0x0a,ALTSVC,"[RFC7838, Section 4]"
0x0b,Unassigned,
0x0c,ORIGIN,[RFC8336]
0x0d-0x0f,Unassigned,
0x10,PRIORITY_UPDATE,[RFC-ietf-httpbis-priority-12]
0x11-0xff,Unassigned,
