Class Name,Attribute Name,Reference
Reference,origin,[RFC4765]
Source,spoofed,[RFC4765]
Target,decoy,[RFC4765]
AdditionalData,type,[RFC4765]
Impact,severity,[RFC4765]
Impact,completion,[RFC4765]
Impact,type,[RFC4765]
Action,category,[RFC4765]
Confidence,rating,[RFC4765]
Node,category,[RFC4765]
Address,category,[RFC4765]
User,category,[RFC4765]
UserId,category,[RFC4765]
File,category,[RFC4765]
File,fstype,[RFC4765]
FileAccess,permission,[RFC4765]
Linkage,category,[RFC4765]
Checksum,algorithm,[RFC4765]
