Link Service Access Point (IEEE Binary),Link Service Access Point (Internet Binary ),Link Service Access Point (Decimal),Description,Reference
00000000,00000000,0,Null LSAP,[IEEE]
01000000,00000010,2,Indiv LLC Sublayer Mgt,[IEEE]
11000000,00000011,3,Group LLC Sublayer Mgt,[IEEE]
00100000,00000100,4,SNA Path Control,[IEEE]
01100000,00000110,6,Reserved (DOD IP),[RFC768][JBP]
01110000,00001110,14,PROWAY-LAN,[IEEE]
01110010,01001110,78,EIA-RS 511,[IEEE]
01111010,01011110,94,ISI IP,[JBP]
01110001,10001110,142,PROWAY-LAN,[IEEE]
01010101,10101010,170,SNAP,[IEEE]
01111111,11111110,254,ISO CLNS IS 8473,[RFC926][JXJ]
11111111,11111111,255,Global DSAP,[IEEE]
