Organization,Registration Date
3GPP,2013-05-16
3MF Consortium,2017-05-12
Advanced Television Systems Committee (ATSC),2017-08-11
"American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE)",2014-01-29
Association for Standardisation of Automation and Measuring Systems (ASAM),2014-01-08
DICOM Standards Committee,2016-07-01
IEEE Industry Standards and Technology Organization,2012-08-14
International Digital Publishing Forum,2014-11-06
ISO/IEC JTC1,2013-03-29
The Khronos Group,2016-07-01
"The National Archives, UK",2014-11-21
Node.js Technical Steering Committee,2017-12-11
Open Geospatial Consortium (OGC),2017-01-09
Society of Motion Picture and Television Engineers (SMPTE),2017-12-08
Swedish Standards Institute (SIS),2014-07-09
UEFI Forum,2016-04-06
W3C,2012-09-19
ZigBee Alliance,2012-10-04
