Type,Name,Reference
0x00,Reserved,
0x01-0x08,Reserved (Obsolete),[RFC988]
0x09-0x10,Unassigned,
0x11,IGMP Membership Query,[RFC1112]
0x12,IGMPv1 Membership Report,[RFC1112]
0x13,DVMRP,[draft-ietf-idmr-dvmrp-v3-11]
0x14,PIM version 1,[draft-ietf-idmr-pim-spec-02]
0x15,Cisco Trace Messages,
0x16,IGMPv2 Membership Report,[RFC2236]
0x17,IGMPv2 Leave Group,[RFC2236]
0x1e,Multicast Traceroute Response,[Bill_Fenner]
0x1f,Multicast Traceroute,[Bill_Fenner]
0x22,IGMPv3 Membership Report,[RFC3376]
0x30,Multicast Router Advertisement,[RFC4286]
0x31,Multicast Router Solicitation,[RFC4286]
0x32,Multicast Router Termination,[RFC4286]
0xf0-0xff,Reserved for experimentation,[RFC3228][BCP57]
