Value,NOTIFY MESSAGES - ERROR TYPES,Reference
0,Reserved,[RFC7296]
1,UNSUPPORTED_CRITICAL_PAYLOAD,[RFC7296]
2-3,Reserved,[RFC7296]
4,INVALID_IKE_SPI,[RFC7296]
5,INVALID_MAJOR_VERSION,[RFC7296]
6,Reserved,[RFC7296]
7,INVALID_SYNTAX,[RFC7296]
8,Reserved,[RFC7296]
9,INVALID_MESSAGE_ID,[RFC7296]
10,Reserved,[RFC7296]
11,INVALID_SPI,[RFC7296]
12-13,Reserved,[RFC7296]
14,NO_PROPOSAL_CHOSEN,[RFC7296]
15-16,Reserved,[RFC7296]
17,INVALID_KE_PAYLOAD,[RFC7296]
18-23,Reserved,[RFC7296]
24,AUTHENTICATION_FAILED,[RFC7296]
25-33,RESERVED,[RFC7296]
34,SINGLE_PAIR_REQUIRED,[RFC7296]
35,NO_ADDITIONAL_SAS,[RFC7296]
36,INTERNAL_ADDRESS_FAILURE,[RFC7296]
37,FAILED_CP_REQUIRED,[RFC7296]
38,TS_UNACCEPTABLE,[RFC7296]
39,INVALID_SELECTORS,[RFC7296]
40,UNACCEPTABLE_ADDRESSES,[RFC4555]
41,UNEXPECTED_NAT_DETECTED,[RFC4555]
42,USE_ASSIGNED_HoA,[RFC5026]
43,TEMPORARY_FAILURE,[RFC7296]
44,CHILD_SA_NOT_FOUND,[RFC7296]
45,INVALID_GROUP_ID,[draft-yeung-g-ikev2]
46,AUTHORIZATION_FAILED,[draft-yeung-g-ikev2]
47,STATE_NOT_FOUND,[RFC-ietf-ipsecme-ikev2-multiple-ke-12]
48-8191,Unassigned,
8192-16383,Private use,[RFC7296]
