Value,NOTIFY MESSAGES - STATUS TYPES,Reference
16384,INITIAL_CONTACT,[RFC7296]
16385,SET_WINDOW_SIZE,[RFC7296]
16386,ADDITIONAL_TS_POSSIBLE,[RFC7296]
16387,IPCOMP_SUPPORTED,[RFC7296]
16388,NAT_DETECTION_SOURCE_IP,[RFC7296]
16389,NAT_DETECTION_DESTINATION_IP,[RFC7296]
16390,COOKIE,[RFC7296]
16391,USE_TRANSPORT_MODE,[RFC7296]
16392,HTTP_CERT_LOOKUP_SUPPORTED,[RFC7296]
16393,REKEY_SA,[RFC7296]
16394,ESP_TFC_PADDING_NOT_SUPPORTED,[RFC7296]
16395,NON_FIRST_FRAGMENTS_ALSO,[RFC7296]
16396,MOBIKE_SUPPORTED,[RFC4555]
16397,ADDITIONAL_IP4_ADDRESS,[RFC4555]
16398,ADDITIONAL_IP6_ADDRESS,[RFC4555]
16399,NO_ADDITIONAL_ADDRESSES,[RFC4555]
16400,UPDATE_SA_ADDRESSES,[RFC4555]
16401,COOKIE2,[RFC4555]
16402,NO_NATS_ALLOWED,[RFC4555]
16403,AUTH_LIFETIME,[RFC4478]
16404,MULTIPLE_AUTH_SUPPORTED,[RFC4739]
16405,ANOTHER_AUTH_FOLLOWS,[RFC4739]
16406,REDIRECT_SUPPORTED,[RFC5685]
16407,REDIRECT,[RFC5685]
16408,REDIRECTED_FROM,[RFC5685]
16409,TICKET_LT_OPAQUE,[RFC5723]
16410,TICKET_REQUEST,[RFC5723]
16411,TICKET_ACK,[RFC5723]
16412,TICKET_NACK,[RFC5723]
16413,TICKET_OPAQUE,[RFC5723]
16414,LINK_ID,[RFC5739]
16415,USE_WESP_MODE,[RFC5840]
16416,ROHC_SUPPORTED,[RFC5857]
16417,EAP_ONLY_AUTHENTICATION,[RFC5998]
16418,CHILDLESS_IKEV2_SUPPORTED,[RFC6023]
16419,QUICK_CRASH_DETECTION,[RFC6290]
16420,IKEV2_MESSAGE_ID_SYNC_SUPPORTED,[RFC6311]
16421,IPSEC_REPLAY_COUNTER_SYNC_SUPPORTED,[RFC6311]
16422,IKEV2_MESSAGE_ID_SYNC,[RFC6311]
16423,IPSEC_REPLAY_COUNTER_SYNC,[RFC6311]
16424,SECURE_PASSWORD_METHODS,[RFC6467]
16425,PSK_PERSIST,[RFC6631]
16426,PSK_CONFIRM,[RFC6631]
16427,ERX_SUPPORTED,[RFC6867]
16428,IFOM_CAPABILITY,[Frederic_Firmin][3GPP TS 24.303 v10.6.0 annex B.2]
16429,SENDER_REQUEST_ID,[draft-yeung-g-ikev2]
16430,IKEV2_FRAGMENTATION_SUPPORTED,[RFC7383]
16431,SIGNATURE_HASH_ALGORITHMS,[RFC7427]
16432,CLONE_IKE_SA_SUPPORTED,[RFC7791]
16433,CLONE_IKE_SA,[RFC7791]
16434,PUZZLE,[RFC8019]
16435-40959,Unassigned,
40960-65535,Private use,[RFC7296]
