Value,Next Payload Type,Notation,Reference
0,No Next Payload,,[RFC7296]
1-32,Reserved,,[RFC7296]
33,Security Association,SA,[RFC7296]
34,Key Exchange,KE,[RFC7296]
35,Identification - Initiator,IDi,[RFC7296]
36,Identification - Responder,IDr,[RFC7296]
37,Certificate,CERT,[RFC7296]
38,Certificate Request,CERTREQ,[RFC7296]
39,Authentication,AUTH,[RFC7296]
40,Nonce,"Ni, Nr",[RFC7296]
41,Notify,N,[RFC7296]
42,Delete,D,[RFC7296]
43,Vendor ID,V,[RFC7296]
44,Traffic Selector - Initiator,TSi,[RFC7296]
45,Traffic Selector - Responder,TSr,[RFC7296]
46,Encrypted and Authenticated,SK,[RFC7296]
47,Configuration,CP,[RFC7296]
48,Extensible Authentication,EAP,[RFC7296]
49,Generic Secure Password Method,GSPM,[RFC6467]
50,Group Identification,IDg,[draft-yeung-g-ikev2]
51,Group Security Association,GSA,[draft-yeung-g-ikev2]
52,Key Download,KD,[draft-yeung-g-ikev2]
53,Encrypted and Authenticated Fragment,SKF,[RFC7383]
54-127,Unassigned,,
128-255,Private use,,[RFC7296]
