Value,Attribute Type,Multi-Valued,Length,Reference
0,Reserved,,,[RFC7296]
1,INTERNAL_IP4_ADDRESS,YES*,0 or 4 octets,[RFC7296]
2,INTERNAL_IP4_NETMASK,NO,0 or 4 octets,[RFC7296]
3,INTERNAL_IP4_DNS,YES,0 or 4 octets,[RFC7296]
4,INTERNAL_IP4_NBNS,YES,0 or 4 octets,[RFC7296]
5,Reserved,,,[RFC7296]
6,INTERNAL_IP4_DHCP,YES,0 or 4 octets,[RFC7296]
7,APPLICATION_VERSION,NO,0 or more,[RFC7296]
8,INTERNAL_IP6_ADDRESS,YES*,0 or 17 octets,[RFC7296]
9,Reserved,,,[RFC7296]
10,INTERNAL_IP6_DNS,YES,0 or 16 octets,[RFC7296]
11,Reserved,,,[RFC7296]
12,INTERNAL_IP6_DHCP,YES,0 or 16 octets,[RFC7296]
13,INTERNAL_IP4_SUBNET,YES,0 or 8 octets,[RFC7296]
14,SUPPORTED_ATTRIBUTES,NO,Multiple of 2,[RFC7296]
15,INTERNAL_IP6_SUBNET,YES,17 octets,[RFC7296]
16,MIP6_HOME_PREFIX,YES,0 or 21 octets,[RFC5026]
17,INTERNAL_IP6_LINK,NO,8 or more,[RFC5739]
18,INTERNAL_IP6_PREFIX,YES,17 octets,[RFC5739]
19,HOME_AGENT_ADDRESS,NO,16 or 20,[http://www.3gpp.org/ftp/Specs/html-info/24302.htm][John_Meredith]
20,P_CSCF_IP4_ADDRESS,YES,0 or 4 octets,[RFC7651]
21,P_CSCF_IP6_ADDRESS,YES,0 or 16 octets,[RFC7651]
22,FTT_KAT,NO,2 octets,[TS 24.302 12.6.0]
23,EXTERNAL_SOURCE_IP4_NAT_INFO,NO,0 or 6,[TS 29.139][Kimmo_Kymalainen]
24,TIMEOUT_PERIOD_FOR_LIVENESS_CHECK,NO,0 or 4 octets,[TS 24.302 13.4.0][Frederic_Firmin]
25,INTERNAL_DNS_DOMAIN,YES,0 or more,[RFC-ietf-ipsecme-split-dns-17]
26,INTERNAL_DNSSEC_TA,YES,0 or more,[RFC-ietf-ipsecme-split-dns-17]
27-16383,Unassigned,,,
16384-32767,Private Use,,,[RFC7296]
