Type,Description,Used In,Reference
0,Reserved,,[RFC7296]
1,Encryption Algorithm (ENCR),(IKE and ESP),[RFC7296]
2,Pseudo-random Function (PRF),(IKE),[RFC7296]
3,Integrity Algorithm (INTEG),"(IKE, AH, optional in ESP)",[RFC7296]
4,Key Exchange Method (KE),"(IKE, optional in AH & ESP)",[RFC7296][RFC-ietf-ipsecme-ikev2-multiple-ke-12]
5,Extended Sequence Numbers (ESN),(AH and ESP),[RFC7296]
6,Additional Key Exchange 1 (ADDKE1),"(optional in IKE, AH, ESP)",[RFC-ietf-ipsecme-ikev2-multiple-ke-12]
7,Additional Key Exchange 2 (ADDKE2),"(optional in IKE, AH, ESP)",[RFC-ietf-ipsecme-ikev2-multiple-ke-12]
8,Additional Key Exchange 3 (ADDKE3),"(optional in IKE, AH, ESP)",[RFC-ietf-ipsecme-ikev2-multiple-ke-12]
9,Additional Key Exchange 4 (ADDKE4),"(optional in IKE, AH, ESP)",[RFC-ietf-ipsecme-ikev2-multiple-ke-12]
10,Additional Key Exchange 5 (ADDKE5),"(optional in IKE, AH, ESP)",[RFC-ietf-ipsecme-ikev2-multiple-ke-12]
11,Additional Key Exchange 6 (ADDKE6),"(optional in IKE, AH, ESP)",[RFC-ietf-ipsecme-ikev2-multiple-ke-12]
12,Additional Key Exchange 7 (ADDKE7),"(optional in IKE, AH, ESP)",[RFC-ietf-ipsecme-ikev2-multiple-ke-12]
13-240,Unassigned,,
241-255,Private use,,[RFC7296]
