Number,Name,ESP Reference,IKEv2 Reference
0,Reserved,[RFC7296],-
1,ENCR_DES_IV64,UNSPECIFIED,-
2,ENCR_DES,[RFC2405],[RFC7296]
3,ENCR_3DES,[RFC2451],[RFC7296]
4,ENCR_RC5,[RFC2451],[RFC7296]
5,ENCR_IDEA,[RFC2451],[RFC7296]
6,ENCR_CAST,[RFC2451],[RFC7296]
7,ENCR_BLOWFISH,[RFC2451],[RFC7296]
8,ENCR_3IDEA,UNSPECIFIED,[RFC7296]
9,ENCR_DES_IV32,UNSPECIFIED,-
10,Reserved,[RFC7296],-
11,ENCR_NULL,[RFC2410],Not allowed
12,ENCR_AES_CBC,[RFC3602],[RFC7296]
13,ENCR_AES_CTR,[RFC3686],[RFC5930]
14,ENCR_AES_CCM_8,[RFC4309],[RFC5282]
15,ENCR_AES_CCM_12,[RFC4309],[RFC5282]
16,ENCR_AES_CCM_16,[RFC4309],[RFC5282]
17,Unassigned,,
18,ENCR_AES_GCM_8,"[RFC4106]
          [RFC-ietf-ipsecme-rfc4307bis-18]","[RFC5282]
          [RFC-ietf-ipsecme-rfc4307bis-18]"
19,ENCR_AES_GCM_12,"[RFC4106]
          [RFC-ietf-ipsecme-rfc4307bis-18]","[RFC5282]
          [RFC-ietf-ipsecme-rfc4307bis-18]"
20,ENCR_AES_GCM_16,"[RFC4106]
          [RFC-ietf-ipsecme-rfc4307bis-18]","[RFC5282]
          [RFC-ietf-ipsecme-rfc4307bis-18]"
21,ENCR_NULL_AUTH_AES_GMAC,[RFC4543],Not allowed
22,Reserved for IEEE P1619 XTS-AES,[Matt_Ball],-
23,ENCR_CAMELLIA_CBC,[RFC5529],[RFC7296]
24,ENCR_CAMELLIA_CTR,[RFC5529],-
25,ENCR_CAMELLIA_CCM_8,"[RFC5529]
          [RFC-ietf-ipsecme-rfc4307bis-18]",-
26,ENCR_CAMELLIA_CCM_12,"[RFC5529]
          [RFC-ietf-ipsecme-rfc4307bis-18]",-
27,ENCR_CAMELLIA_CCM_16,"[RFC5529]
          [RFC-ietf-ipsecme-rfc4307bis-18]",-
28,ENCR_CHACHA20_POLY1305,[RFC7634],[RFC7634]
29-1023,Unassigned,,
1024-65535,Private use,[RFC7296],[RFC7296]
