"ID",Technique,Parameters,Reference
0,Unassigned,,
1,Systematic count-based Sampling,"flowSamplingInterval, flowSamplingSpacing",[RFC7014]
2,Systematic time-based Sampling,"flowSamplingTimeInterval, flowSamplingTimeSpacing",[RFC7014]
3,Random n-out-of-N Sampling,"samplingSize, samplingPopulation",[RFC7014]
4,Uniform probabilistic Sampling,samplingProbability,[RFC7014]
5,Property Match Filtering,Information Element Value Range,[RFC7014]
6,Hash-based Filtering using BOB,"hashInitialiserValue, hashFlowDomain, hashSelectedRangeMin, 
hashSelectedRangeMax, hashOutputRangeMin, hashOutputRangeMax",[RFC7014]
7,Hash-based Filtering using IPSX,"hashInitialiserValue, hashFlowDomain, hashSelectedRangeMin, 
hashSelectedRangeMax, hashOutputRangeMin, hashOutputRangeMax",[RFC7014]
8,Hash-based Filtering using CRC,"hashInitialiserValue, hashFlowDomain, hashSelectedRangeMin, 
hashSelectedRangeMax, hashOutputRangeMin, hashOutputRangeMax",[RFC7014]
9,Flow-state Dependent Intermediate Flow Selection Process,No agreed Parameters,[RFC7014]
