Value,Description,Reference
0,octetArray,[RFC5102][RFC7011]
1,unsigned8,[RFC5102][RFC7011]
2,unsigned16,[RFC5102][RFC7011]
3,unsigned32,[RFC5102][RFC7011]
4,unsigned64,[RFC5102][RFC7011]
5,signed8,[RFC5102][RFC7011]
6,signed16,[RFC5102][RFC7011]
7,signed32,[RFC5102][RFC7011]
8,signed64,[RFC5102][RFC7011]
9,float32,[RFC5102][RFC7011]
10,float64,[RFC5102][RFC7011]
11,boolean,[RFC5102][RFC7011]
12,macAddress,[RFC5102][RFC7011]
13,string,[RFC5102][RFC7011]
14,dateTimeSeconds,[RFC5102][RFC7011]
15,dateTimeMilliseconds,[RFC5102][RFC7011]
16,dateTimeMicroseconds,[RFC5102][RFC7011]
17,dateTimeNanoseconds,[RFC5102][RFC7011]
18,ipv4Address,[RFC5102][RFC7011]
19,ipv6Address,[RFC5102][RFC7011]
20,basicList,[RFC6313][RFC7011]
21,subTemplateList,[RFC6313][RFC7011]
22,subTemplateMultiList,[RFC6313][RFC7011]
23-255,Unassigned,
