Value,Event Name,Reference
0,Reserved,[RFC8158]
1,NAT translation create (Historic),[RFC8158]
2,NAT translation delete (Historic),[RFC8158]
3,NAT Addresses exhausted,[RFC8158]
4,NAT44 session create,[RFC8158]
5,NAT44 session delete,[RFC8158]
6,NAT64 session create,[RFC8158]
7,NAT64 session delete,[RFC8158]
8,NAT44 BIB create,[RFC8158]
9,NAT44 BIB delete,[RFC8158]
10,NAT64 BIB create,[RFC8158]
11,NAT64 BIB delete,[RFC8158]
12,NAT ports exhausted,[RFC8158]
13,Quota Exceeded,[RFC8158]
14,Address binding create,[RFC8158]
15,Address binding delete,[RFC8158]
16,Port block allocation,[RFC8158]
17,Port block de-allocation,[RFC8158]
18,Threshold Reached,[RFC8158]
