Name,Reference
Acknowledge-Document,[PWG5100.18]
Acknowledge-Identify-Printer,[PWG5100.18]
Acknowledge-Job,[PWG5100.18]
Activate-Printer,[RFC3998]
Activate-Printer(deprecated),[APPLE20150505-3]
Add-Document-Images,[PWG5100.15]
Cancel-Current-Job,[RFC3998]
Cancel-Current-Job(extension),[PWG5100.5]
Cancel-Document,[PWG5100.5]
Cancel-Job,[RFC-sweet-rfc2911bis-11]
Cancel-Job(extension),[RFC3380]
Cancel-Job(extension),[PWG5100.5]
Cancel-Jobs,[PWG5100.11]
Cancel-My-Jobs,[PWG5100.11]
Cancel-Subscription,[RFC3995]
Close-Job,[PWG5100.11]
Create-Job,[RFC-sweet-rfc2911bis-11]
Create-Job (extension),[PWG5100.17]
Create-Job(extension),[RFC3995]
Create-Job(extension),[PWG5100.5]
Create-Job(extension),[PWG5100.11]
Create-Job(extension),[PWG5100.13]
Create-Job(extension),[PWG5100.16]
Create-Job-Subscriptions,[RFC3995]
Create-Job-Subscriptions(extension),[PWG5100.13]
Create-Printer-Subscriptions,[RFC3995]
Create-Printer-Subscriptions(extension),[PWG5100.13]
Deactivate-Printer,[RFC3998]
Deactivate-Printer(deprecated),[APPLE20150505-3]
Delete-Document,[PWG5100.5]
Delete-Document(deprecated),[APPLE20150505-2]
Deregister-Output-Device,[PWG5100.18]
Disable-Printer,[RFC3998]
Enable-Printer,[RFC3998]
Fetch-Document,[PWG5100.18]
Fetch-Job,[PWG5100.18]
Get-Document-Attributes,[PWG5100.5]
Get-Documents,[PWG5100.5]
Get-Documents(extension),[PWG5100.13]
Get-Job-Attributes,[RFC-sweet-rfc2911bis-11]
Get-Jobs,[RFC-sweet-rfc2911bis-11]
Get-Jobs (extension),[PWG5100.18]
Get-Jobs(extension),[PWG5100.11]
Get-Jobs(extension),[PWG5100.11]
Get-Jobs(extension),[PWG5100.13]
Get-Next-Document-Data,[PWG5100.17]
Get-Notifications,[RFC3996]
Get-Notifications (extension),[PWG5100.18]
Get-Output-Device-Attributes,[PWG5100.18]
Get-Printer-Attributes,[RFC-sweet-rfc2911bis-11]
Get-Printer-Attributes (extension),[PWG5100.18]
Get-Printer-Attributes(extension),[RFC3995]
Get-Printer-Attributes(extension),[PWG5100.13]
Get-Printer-Supported-Values,[RFC3380]
Get-Subscription-Attributes,[RFC3995]
Get-Subscriptions,[RFC3995]
Get-Subscriptions(extension),[PWG5100.13]
Hold-Job,[RFC-sweet-rfc2911bis-11]
Hold-Job(extension),[RFC3380]
Hold-Job(extension),[PWG5100.5]
Hold-New-Jobs,[RFC3998]
Identify-Printer,[PWG5100.13]
Identify-Printer (extension),[PWG5100.18]
Pause-Printer,[RFC-sweet-rfc2911bis-11]
Pause-Printer(extension),[RFC3380]
Pause-Printer-After-Current-Job,[RFC3998]
Print-Job,[RFC-sweet-rfc2911bis-11]
Print-Job(extension),[RFC3995]
Print-Job(extension),[PWG5100.5]
Print-Job(extension),[PWG5100.11]
Print-Job(extension),[PWG5100.13]
Print-Job(extension),[PWG5100.16]
Print-URI,[RFC-sweet-rfc2911bis-11]
Print-URI (extension),[PWG5100.18]
Print-URI(extension),[RFC3995]
Print-URI(extension),[PWG5100.5]
Print-URI(extension),[PWG5100.11]
Print-URI(extension),[PWG5100.13]
Print-URI(extension),[PWG5100.16]
Promote-Job,[RFC3998]
Purge-Jobs,[RFC-sweet-rfc2911bis-11]
Purge-Jobs(deprecated),[APPLE20150505-2]
Purge-Jobs(extension),[RFC3380]
Purge-Jobs(extension),[PWG5100.5]
Release-Held-New-Jobs,[RFC3998]
Release-Job,[RFC-sweet-rfc2911bis-11]
Release-Job(extension),[RFC3380]
Release-Job(extension),[PWG5100.5]
Renew-Subscription,[RFC3995]
Reprocess-Job,[RFC3998]
Reprocess-Job(deprecated),[APPLE20150505-2]
Reprocess-Job(extension),[PWG5100.5]
Restart-Job,[RFC-sweet-rfc2911bis-11]
Restart-Job(deprecated),[APPLE20150505-2]
Restart-Job(extension),[RFC3380]
Restart-Job(extension),[PWG5100.5]
Restart-Printer,[RFC3998]
Resubmit-Job,[PWG5100.11]
Resume-Job,[RFC3998]
Resume-Printer,[RFC-sweet-rfc2911bis-11]
Resume-Printer(extension),[RFC3380]
Schedule-Job-After,[RFC3998]
Send-Document,[RFC-sweet-rfc2911bis-11]
Send-Document(extension),[PWG5100.5]
Send-Document(extension),[PWG5100.13]
Send-URI,[RFC-sweet-rfc2911bis-11]
Send-URI (extension),[PWG5100.18]
Send-URI(extension),[PWG5100.5]
Send-URI(extension),[PWG5100.13]
Set-Document-Attributes,[PWG5100.5]
Set-Job-Attributes,[RFC3380]
Set-Printer-Attributes,[RFC3380]
Shutdown-Printer,[RFC3998]
Startup-Printer,[RFC3998]
Suspend-Current-Job,[RFC3998]
Suspend-Current-Job(extension),[PWG5100.5]
Update-Active-Jobs,[PWG5100.18]
Update-Document-Status,[PWG5100.18]
Update-Job-Status,[PWG5100.18]
Update-Output-Device-Attributes,[PWG5100.18]
Validate-Document,[PWG5100.13]
Validate-Job,[RFC-sweet-rfc2911bis-11]
Validate-Job(extension),[RFC3995]
Validate-Job(extension),[PWG5100.5]
Validate-Job(extension),[PWG5100.13]
Validate-Job(extension),[PWG5100.16]
