Value,Group Description,Reference,Note
0,Reserved,,
1,default 768-bit MODP group,[RFC2409],Section 6.1
2,alternate 1024-bit MODP group,[RFC2409],Section 6.2
3,EC2N group on GP[2^155],[RFC2409],Section 6.3
4,EC2N group on GP[2^185],[RFC2409],Section 6.4
5,1536-bit MODP group,[RFC3526],Section 2
6,EC2N group over GF[2^163](see Note),[draft-ietf-ipsec-ike-ecc-groups],Section 2.1
7,EC2N group over GF[2^163](see Note),[draft-ietf-ipsec-ike-ecc-groups],Section 2.2
8,EC2N group over GF[2^283](see Note),[draft-ietf-ipsec-ike-ecc-groups],Section 2.3
9,EC2N group over GF[2^283](see Note),[draft-ietf-ipsec-ike-ecc-groups],Section 2.4
10,EC2N group over GF[2^409](see Note),[draft-ietf-ipsec-ike-ecc-groups],Section 2.5
11,EC2N group over GF[2^409](see Note),[draft-ietf-ipsec-ike-ecc-groups],Section 2.6
12,EC2N group over GF[2^571](see Note),[draft-ietf-ipsec-ike-ecc-groups],Section 2.7
13,EC2N group over GF[2^571](see Note),[draft-ietf-ipsec-ike-ecc-groups],Section 2.8
14,2048-bit MODP group,[RFC3526],Section 3
15,3072-bit MODP group,[RFC3526],Section 4
16,4096-bit MODP group,[RFC3526],Section 5
17,6144-bit MODP group,[RFC3526],Section 6
18,8192-bit MODP group,[RFC3526],Section 7
19,256-bit random ECP group,[RFC5903],
20,384-bit random ECP group,[RFC5903],
21,521-bit random ECP group,[RFC5903],
22,1024-bit MODP Group with 160-bit Prime Order Subgroup,[RFC5114],
23,2048-bit MODP Group with 224-bit Prime Order Subgroup,[RFC5114],
24,2048-bit MODP Group with 256-bit Prime Order Subgroup,[RFC5114],
25,192-bit Random ECP Group,[RFC5114],
26,224-bit Random ECP Group,[RFC5114],
27,224-bit Brainpool ECP group,[RFC6932],Section 2.1. Not for RFC 2409.
28,256-bit Brainpool ECP group,[RFC6932],Section 2.2. Not for RFC 2409.
29,384-bit Brainpool ECP group,[RFC6932],Section 2.3. Not for RFC 2409.
30,512-bit Brainpool ECP group,[RFC6932],Section 2.4. Not for RFC 2409.
31-32767,Unassigned,,
32768-65535,Reserved for private use,,
