Start address,End address,Returned by,Date recovered,Status
160.20.225.0,160.20.225.255,APNIC,2012-08,RECOVERED
160.20.229.0,160.20.229.255,APNIC,2012-08,RECOVERED
160.20.241.0,160.20.241.255,APNIC,2012-08,RECOVERED
160.20.245.0,160.20.245.255,APNIC,2012-08,RECOVERED
160.20.251.0,160.20.251.255,APNIC,2012-08,RECOVERED
160.238.31.0,160.238.31.255,APNIC,2012-08,RECOVERED
160.238.33.0,160.238.33.255,APNIC,2012-08,RECOVERED
160.238.41.0,160.238.41.255,APNIC,2012-08,RECOVERED
160.238.50.0,160.238.50.255,APNIC,2012-08,RECOVERED
160.238.57.0,160.238.57.255,APNIC,2012-08,RECOVERED
160.238.63.0,160.238.63.255,APNIC,2012-08,RECOVERED
160.238.101.0,160.238.101.255,APNIC,2012-08,RECOVERED
192.12.109.0,192.12.109.255,IANA,2012-05,RECOVERED
192.47.28.0,192.47.28.255,APNIC,2012-08,RECOVERED
192.47.36.0,192.47.36.255,APNIC,2012-08,RECOVERED
192.51.188.0,192.51.188.255,APNIC,2012-08,RECOVERED
192.51.240.0,192.51.240.255,APNIC,2012-08,RECOVERED
192.54.244.0,192.54.244.255,RIPE NCC,2014-04,RECOVERED
192.67.23.0,192.67.23.255,IANA,2012-05,RECOVERED
192.83.207.0,192.83.207.255,RIPE NCC,2014-04,RECOVERED
192.91.200.0,192.91.200.255,RIPE NCC,2014-04,RECOVERED
192.92.154.0,192.92.154.255,RIPE NCC,2014-04,RECOVERED
192.94.77.0,192.94.78.255,IANA,2012-05,RECOVERED
192.135.185.0,192.135.185.255,RIPE NCC,2014-04,RECOVERED
192.144.75.0,192.144.75.255,RIPE NCC,2014-04,RECOVERED
192.156.202.0,192.156.202.255,ARIN,2012-06,RECOVERED
192.188.81.0,192.188.81.255,APNIC,2012-08,RECOVERED
192.188.248.0,192.188.248.255,RIPE NCC,2014-04,RECOVERED
192.197.113.0,192.197.113.255,ARIN,2012-06,RECOVERED
199.212.57.0,199.212.57.255,ARIN,2012-06,RECOVERED
204.52.191.0,204.52.191.255,ARIN,2012-06,RECOVERED
205.211.83.0,205.211.83.255,ARIN,2012-06,RECOVERED
