Start address,End address,Designation,Date,Whois,Status,Note
43.224.0.0,43.231.255.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
43.236.0.0,43.243.255.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
43.245.0.0,43.252.255.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
43.254.0.0,43.255.255.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
45.2.0.0,45.3.255.255,ARIN,2015-09,whois.arin.net,ALLOCATED,
45.4.0.0,45.7.255.255,LACNIC,2015-03,whois.lacnic.net,ALLOCATED,
45.8.0.0,45.15.255.255,RIPE NCC,2015-03,whois.ripe.net,ALLOCATED,
45.16.0.0,45.31.255.255,ARIN,2014-09,whois.arin.net,ALLOCATED,
45.32.0.0,45.63.255.255,ARIN,2014-05,whois.arin.net,ALLOCATED,
45.64.0.0,45.65.15.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
45.65.16.0,45.65.63.255,APNIC,2016-03,whois.apnic.net,ALLOCATED,
45.65.64.0,45.65.127.255,RIPE NCC,2016-03,whois.ripe.net,ALLOCATED,
45.65.128.0,45.65.255.255,LACNIC,2016-03,whois.lacnic.net,ALLOCATED,
45.66.0.0,45.67.255.255,RIPE NCC,2015-09,whois.ripe.net,ALLOCATED,
45.68.0.0,45.71.255.255,LACNIC,2015-03,whois.lacnic.net,ALLOCATED,
45.72.0.0,45.79.255.255,ARIN,2015-03,whois.arin.net,ALLOCATED,
45.80.0.0,45.95.255.255,RIPE NCC,2014-09,whois.ripe.net,ALLOCATED,
45.96.0.0,45.111.255.255,AFRINIC,2014-09,whois.afrinic.net,ALLOCATED,
45.112.0.0,45.127.255.255,APNIC,2014-09,whois.apnic.net,ALLOCATED,
45.128.0.0,45.159.255.255,RIPE NCC,2014-05,whois.ripe.net,ALLOCATED,
45.160.0.0,45.191.255.255,LACNIC,2014-05,whois.lacnic.net,ALLOCATED,
45.192.0.0,45.222.255.255,AFRINIC,2014-05,whois.afrinic.net,ALLOCATED,
45.223.0.0,45.223.255.255,ARIN,2016-03,whois.arin.net,ALLOCATED,
45.224.0.0,45.239.255.255,LACNIC,2014-09,whois.lacnic.net,ALLOCATED,
45.240.0.0,45.247.255.255,AFRINIC,2015-03,whois.afrinic.net,ALLOCATED,
45.248.0.0,45.255.255.255,APNIC,2015-03,whois.apnic.net,ALLOCATED,
66.251.128.0,66.251.191.255,AFRINIC,2016-03,whois.afrinic.net,ALLOCATED,
72.44.16.0,72.44.31.255,LACNIC,2016-03,whois.lacnic.net,ALLOCATED,
128.201.0.0,128.201.255.255,LACNIC,2015-09,whois.lacnic.net,ALLOCATED,
131.196.0.0,131.196.255.255,LACNIC,2015-09,whois.lacnic.net,ALLOCATED,
137.59.0.0,137.59.255.255,APNIC,2015-09,whois.apnic.net,ALLOCATED,
139.5.0.0,139.5.255.255,APNIC,2015-09,whois.apnic.net,ALLOCATED,
139.26.0.0,139.26.255.255,AFRINIC,2015-09,whois.afrinic.net,ALLOCATED,
139.28.0.0,139.28.255.255,RIPE NCC,2015-09,whois.ripe.net,ALLOCATED,
144.48.0.0,144.48.255.255,APNIC,2015-09,whois.apnic.net,ALLOCATED,
144.168.0.0,144.168.255.255,ARIN,2015-09,whois.arin.net,ALLOCATED,
146.196.32.0,146.196.127.255,APNIC,2016-03,whois.apnic.net,ALLOCATED,
146.196.128.0,146.196.255.255,AFRINIC,2016-03,whois.afrinic.net,ALLOCATED,
147.78.0.0,147.78.255.255,RIPE NCC,2016-03,whois.ripe.net,ALLOCATED,
149.248.0.0,149.248.255.255,ARIN,2015-09,whois.arin.net,ALLOCATED,
150.107.0.0,150.107.255.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
150.129.0.0,150.129.255.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
150.242.0.0,150.242.255.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
152.89.0.0,152.89.255.255,RIPE NCC,2015-09,whois.ripe.net,ALLOCATED,
154.16.0.0,154.16.255.255,AFRINIC,2014-05,whois.afrinic.net,ALLOCATED,
157.119.0.0,157.119.255.255,APNIC,2015-09,whois.apnic.net,ALLOCATED,
160.19.208.0,160.19.223.255,APNIC,2016-03,whois.apnic.net,ALLOCATED,
160.20.0.0,160.20.15.255,APNIC,2016-03,whois.apnic.net,ALLOCATED,
160.20.48.0,160.20.63.255,APNIC,2016-03,whois.apnic.net,ALLOCATED,
160.20.80.0,160.20.95.255,LACNIC,2016-03,whois.lacnic.net,ALLOCATED,
160.20.160.0,160.20.207.255,LACNIC,2016-03,whois.lacnic.net,ALLOCATED,
160.202.32.0,160.202.63.255,APNIC,2016-03,whois.apnic.net,ALLOCATED,
160.202.64.0,160.202.127.255,ARIN,2016-03,whois.arin.net,ALLOCATED,
160.202.128.0,160.202.255.255,APNIC,2016-03,whois.apnic.net,ALLOCATED,
160.238.64.0,160.238.95.255,APNIC,2016-03,whois.apnic.net,ALLOCATED,
160.238.128.0,160.238.255.255,LACNIC,2016-03,whois.lacnic.net,ALLOCATED,
161.123.0.0,161.123.255.255,AFRINIC,2015-09,whois.afrinic.net,ALLOCATED,
163.47.4.0,163.47.18.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
163.47.20.0,163.47.21.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
163.47.32.0,163.47.45.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
163.47.47.0,163.47.255.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
163.53.0.0,163.53.255.255,APNIC,2014-05,whois.apnic.net,ALLOCATED,
164.160.0.0,164.160.255.255,AFRINIC,2016-03,whois.afrinic.net,ALLOCATED,
164.163.0.0,164.163.255.255,LACNIC,2015-09,whois.lacnic.net,ALLOCATED,
192.140.16.0,192.140.127.255,LACNIC,2016-03,whois.lacnic.net,ALLOCATED,
192.140.128.0,192.140.255.255,APNIC,2016-03,whois.apnic.net,ALLOCATED,
192.141.0.0,192.141.255.255,LACNIC,2015-09,whois.lacnic.net,ALLOCATED,
192.142.0.0,192.143.255.255,AFRINIC,2015-09,whois.afrinic.net,ALLOCATED,
192.144.0.0,192.144.63.255,RIPE NCC,2016-03,whois.ripe.net,ALLOCATED,
192.144.96.0,192.144.127.255,LACNIC,2016-03,whois.lacnic.net,ALLOCATED,
192.144.128.0,192.144.255.255,ARIN,2016-03,whois.arin.net,ALLOCATED,
192.145.0.0,192.145.127.255,RIPE NCC,2016-03,whois.ripe.net,ALLOCATED,
192.145.128.0,192.145.191.255,AFRINIC,2016-03,whois.afrinic.net,ALLOCATED,
192.145.192.0,192.145.223.255,LACNIC,2016-03,whois.lacnic.net,ALLOCATED,
209.107.128.0,209.107.191.255,ARIN,2016-03,whois.arin.net,ALLOCATED,
