Address(s),Description,Reference,Change Controller,Date Registered,Last Reviewed
FF02:0:0:0:0:0:0:1,All Nodes Address,[RFC4291],,,
FF02:0:0:0:0:0:0:2,All Routers Address,[RFC4291],,,
FF02:0:0:0:0:0:0:3,Unassigned,[Jon_Postel],,,
FF02:0:0:0:0:0:0:4,DVMRP Routers,[RFC1075][Jon_Postel],,,
FF02:0:0:0:0:0:0:5,OSPFIGP,[RFC2328][John_Moy],,,
FF02:0:0:0:0:0:0:6,OSPFIGP Designated Routers,[RFC2328][John_Moy],,,
FF02:0:0:0:0:0:0:7,ST Routers,[RFC1190][<mystery contact>],,,
FF02:0:0:0:0:0:0:8,ST Hosts,[RFC1190][<mystery contact>],,,
FF02:0:0:0:0:0:0:9,RIP Routers,[RFC2080],,,
FF02:0:0:0:0:0:0:A,EIGRP Routers,[RFC7868],,,
FF02:0:0:0:0:0:0:B,Mobile-Agents,[Bill_Simpson],,1994-11-01,
FF02:0:0:0:0:0:0:C,SSDP,[UPnP_Forum],,2006-09-21,
FF02:0:0:0:0:0:0:D,All PIM Routers,[Dino_Farinacci],,,
FF02:0:0:0:0:0:0:E,RSVP-ENCAPSULATION,[Bob_Braden],,1996-04-01,
FF02:0:0:0:0:0:0:F,UPnP,[UPnP_Forum],,2006-09-21,
FF02:0:0:0:0:0:0:10,All-BBF-Access-Nodes,[RFC6788],,,
FF02:0:0:0:0:0:0:11,All-Homenet-Nodes,[RFC7788],,2016-01-05,
FF02:0:0:0:0:0:0:12,VRRP,[RFC5798],,,
FF02:0:0:0:0:0:0:13,ALL_GRASP_NEIGHBORS,[RFC-ietf-anima-grasp-15],,2017-07-20,
FF02:0:0:0:0:0:0:16,All MLDv2-capable routers,[RFC3810],,,
FF02:0:0:0:0:0:0:1A,all-RPL-nodes,[RFC6550],,,
FF02:0:0:0:0:0:0:6A,All-Snoopers,[RFC4286],,,
FF02:0:0:0:0:0:0:6B,PTP-pdelay,[http://ieee1588.nist.gov/][Kang_Lee],,2007-02-02,
FF02:0:0:0:0:0:0:6C,Saratoga,[Lloyd_Wood],,2007-08-30,
FF02:0:0:0:0:0:0:6D,LL-MANET-Routers,[RFC5498],,,
FF02:0:0:0:0:0:0:6E,IGRS,[Xiaoyu_Zhou],,2009-01-20,
FF02:0:0:0:0:0:0:6F,iADT Discovery,[Paul_Suhler],,2009-05-12,
FF02:0:0:0:0:0:0:FB,mDNSv6,[RFC6762],,2005-10-05,
FF02:0:0:0:0:0:0:FC-FF02:0:0:0:0:0:0:FD,variable scope allocation,,,,
FF02:0:0:0:0:0:0:100-FF02:0:0:0:0:0:0:15E,variable scope allocation,,,,
FF02:0:0:0:0:0:0:160-FF02:0:0:0:0:0:0:16F,variable scope allocation,,,,
FF02:0:0:0:0:0:0:175,variable scope allocation,,,,
FF02:0:0:0:0:0:0:181-FF02:0:0:0:0:0:0:184,variable scope allocation,,,,
FF02:0:0:0:0:0:0:18C,variable scope allocation,,,,
FF02:0:0:0:0:0:0:201-FF02:0:0:0:0:0:0:202,variable scope allocation,,,,
FF02:0:0:0:0:0:0:204-FF02:0:0:0:0:0:0:206,variable scope allocation,,,,
FF02:0:0:0:0:0:0:2C0-FF02:0:0:0:0:0:0:2FF,variable scope allocation,,,,
FF02:0:0:0:0:0:0:300,variable scope allocation,,,,
FF02:0:0:0:0:0:0:3486,variable scope allocation,,,,
FF02:0:0:0:0:0:0:BAC0,variable scope allocation,,,,
FF02:0:0:0:0:0:1:1,Link Name,[Dan_Harrington],,1996-07-01,
FF02:0:0:0:0:0:1:2,All_DHCP_Relay_Agents_and_Servers,[RFC-ietf-dhc-rfc3315bis-13],,,
FF02:0:0:0:0:0:1:3,Link-local Multicast Name Resolution,[RFC4795],,,
FF02:0:0:0:0:0:1:4,DTCP Announcement,[Moritz_Vieth][Hanno_Tersteegen],,2004-05-01,
FF02:0:0:0:0:0:1:5,afore_vdp,[Michael_Richardson],,2010-11-30,
FF02:0:0:0:0:0:1:6,Babel,[RFC6126],,,
FF02:0:0:0:0:0:1:7,DLEP Discovery,[RFC8175],,2017-04-03,
FF02::1:1000/118,variable scope allocation,,,,
FF02:0:0:0:0:0:2:0000-FF02:0:0:0:0:0:2:FFFF,variable scope allocation,,,,
FF02::1:FF00:0000/104,Solicited-Node Address,[RFC4291],,,
FF02:0:0:0:0:2:FF00::/104,Node Information Queries,[RFC4620],,,
FF02::DB8:0:0/96,variable scope allocation,,,,
