Address(es),Description,Reference,Change Controller,Date Registered,Last Reviewed
FF0X:0:0:0:0:0:0:0,Reserved Multicast Address,[RFC4291],,,
FF0X:0:0:0:0:0:0:C,SSDP,[UPnP_Forum],,2006-09-21,
FF0X:0:0:0:0:0:0:FB,mDNSv6,[RFC6762],,2005-10-05,
FF0X:0:0:0:0:0:0:FC,ALL_MPL_FORWARDERS,[RFC7731],,2013-04-10,
FF0X:0:0:0:0:0:0:FD,All CoAP Nodes,[RFC7252],,2013-07-25,
FF0X:0:0:0:0:0:0:FE,all CoRE Resource Directories,[RFC-ietf-core-resource-directory-28],,2021-03-16,
FF0X:0:0:0:0:0:0:FF,Unassigned,,,,
FF0X:0:0:0:0:0:0:100,VMTP Managers Group,[RFC1045][Dave_Cheriton],,,
FF0X:0:0:0:0:0:0:101,Network Time Protocol (NTP),[RFC1119][RFC5905][David_Mills],,,
FF0X:0:0:0:0:0:0:102,SGI-Dogfight,[Andrew_Cherenson],,,
FF0X:0:0:0:0:0:0:103,Rwhod,[Steve_Deering],,,
FF0X:0:0:0:0:0:0:104,VNP,[Dave_Cheriton],,,
FF0X:0:0:0:0:0:0:105,Artificial Horizons - Aviator,[Bruce_Factor],,,
FF0X:0:0:0:0:0:0:106,NSS - Name Service Server,[Bill_Schilit],,,
FF0X:0:0:0:0:0:0:107,AUDIONEWS - Audio News Multicast,[Martin_Forssen],,,
FF0X:0:0:0:0:0:0:108,SUN NIS+ Information Service,[Chuck_McManis],,,
FF0X:0:0:0:0:0:0:109,MTP Multicast Transport Protocol,[Susie_Armstrong],,,
FF0X:0:0:0:0:0:0:10A,IETF-1-LOW-AUDIO,[Steve_Casner],,,
FF0X:0:0:0:0:0:0:10B,IETF-1-AUDIO,[Steve_Casner],,,
FF0X:0:0:0:0:0:0:10C,IETF-1-VIDEO,[Steve_Casner],,,
FF0X:0:0:0:0:0:0:10D,IETF-2-LOW-AUDIO,[Steve_Casner],,,
FF0X:0:0:0:0:0:0:10E,IETF-2-AUDIO,[Steve_Casner],,,
FF0X:0:0:0:0:0:0:10F,IETF-2-VIDEO,[Steve_Casner],,,
FF0X:0:0:0:0:0:0:110,MUSIC-SERVICE,[[Guido van Rossum]],,,
FF0X:0:0:0:0:0:0:111,SEANET-TELEMETRY,[[Andrew Maffei]],,,
FF0X:0:0:0:0:0:0:112,SEANET-IMAGE,[[Andrew Maffei]],,,
FF0X:0:0:0:0:0:0:113,MLOADD,[Bob_Braden],,1996-04-01,
FF0X:0:0:0:0:0:0:114,any private experiment,[Jon_Postel],,,
FF0X:0:0:0:0:0:0:115,DVMRP on MOSPF,[John_Moy],,,
FF0X:0:0:0:0:0:0:116,SVRLOC,[Erik_Guttman],,2001-05-01,
FF0X:0:0:0:0:0:0:117,XINGTV,[<hgxing&aol.com>],,,
FF0X:0:0:0:0:0:0:118,microsoft-ds,[Arnold_M],,,
FF0X:0:0:0:0:0:0:119,pro,[Bloomer],,,
FF0X:0:0:0:0:0:0:11A,pfn,[Bloomer],,,
FF0X:0:0:0:0:0:0:11B,lmsc-calren-1,[Yea_Uang],,1994-11-01,
FF0X:0:0:0:0:0:0:11C,lmsc-calren-2,[Yea_Uang],,1994-11-01,
FF0X:0:0:0:0:0:0:11D,lmsc-calren-3,[Yea_Uang],,1994-11-01,
FF0X:0:0:0:0:0:0:11E,lmsc-calren-4,[Yea_Uang],,1994-11-01,
FF0X:0:0:0:0:0:0:11F,ampr-info,[Rob_Janssen],,1995-01-01,
FF0X:0:0:0:0:0:0:120,mtrace,[Steve_Casner],,1995-01-01,
FF0X:0:0:0:0:0:0:121,RSVP-encap-1,[Bob_Braden],,1996-04-01,
FF0X:0:0:0:0:0:0:122,RSVP-encap-2,[Bob_Braden],,1996-04-01,
FF0X:0:0:0:0:0:0:123,SVRLOC-DA,[Erik_Guttman],,2001-05-01,
FF0X:0:0:0:0:0:0:124,rln-server,[Brian_Kean],,1995-08-01,
FF0X:0:0:0:0:0:0:125,proshare-mc,[Mark_Lewis],,1995-10-01,
FF0X:0:0:0:0:0:0:126,dantz,[Dotty_Yackle],,1996-02-01,
FF0X:0:0:0:0:0:0:127,cisco-rp-announce,[Dino_Farinacci],,,
FF0X:0:0:0:0:0:0:128,cisco-rp-discovery,[Dino_Farinacci],,,
FF0X:0:0:0:0:0:0:129,gatekeeper,[Jim_Toga],,1996-05-01,
FF0X:0:0:0:0:0:0:12A,iberiagames,[Jose_Luis_Marocho],,1996-07-01,
FF0X:0:0:0:0:0:0:12B,X Display,[John_McKernan],,2003-05-01,
FF0X:0:0:0:0:0:0:12C,dof-multicast,[Bryant_Eastham],,2005-04-01,2015-04-23
FF0X:0:0:0:0:0:0:12D,DvbServDisc,[Bert_van_Willigen],,2005-09-16,
FF0X:0:0:0:0:0:0:12E,Ricoh-device-ctrl,[Kohki_Ohhira],,2006-06-20,
FF0X:0:0:0:0:0:0:12F,Ricoh-device-ctrl,[Kohki_Ohhira],,2006-06-20,
FF0X:0:0:0:0:0:0:130,UPnP,[UPnP_Forum],,2006-09-21,
FF0X:0:0:0:0:0:0:131,Systech Mcast,[Dan_Jakubiec],,2006-09-21,
FF0X:0:0:0:0:0:0:132,omasg,[Mark_Lipford],,2006-09-21,
FF0X:0:0:0:0:0:0:133,ASAP,[RFC5352],,,
FF0X:0:0:0:0:0:0:134,unserding,[Sebastian_Freundt],,2009-11-30,
