Value,Description,Reference
0,Source Route (DEPRECATED),[RFC2460][RFC5095]
1,Nimrod (DEPRECATED 2009-05-06),
2,Type 2 Routing Header,[RFC6275]
3,RPL Source Route Header,[RFC6554]
4,Segment Routing Header (SRH),[RFC8754]
5,"CRH-16 (TEMPORARY - registered 2021-06-07, extension registered 2023-06-08, expires 2024-06-07)",[draft-bonica-6man-comp-rtg-hdr-30]
6,"CRH-32 (TEMPORARY - registered 2021-06-07, extension registered 2023-06-08, expires 2024-06-07)",[draft-bonica-6man-comp-rtg-hdr-30]
7-252,Unassigned,
253,RFC3692-style Experiment 1 [2],[RFC4727]
254,RFC3692-style Experiment 2 [2],[RFC4727]
255,Reserved,
