Value,Type,Class,References
1,B,SA Life Type,[RFC2407]
2,V,SA Life Duration,[RFC2407]
3,B,Group Description,[RFC2407]
4,B,Encapsulation Mode,[RFC2407]
5,B,Authentication Algorithm,[RFC2407]
6,B,Key Length,[RFC2407]
7,B,Key Rounds,[RFC2407]
8,B,Compress Dictionary Size,[RFC2407]
9,V,Compress Private Algorithm,[RFC2407]
10,B,ECN Tunnel,[RFC3168]
11,B,Extended (64-bit) Sequence Number,[RFC4304]
12,V,Authentication Key Length,[RFC4359]
13,B,Signature Encoding Algorithm,[RFC4359]
14,B,Address Preservation,[RFC6407]
15,B,SA Direction,[RFC6407]
16-32000,,Unassigned,
32001-32767,,Reserved for private use,
