Value,Transform ID,References
0,RESERVED,[RFC2407]
1,ESP_DES_IV64,[RFC2407]
2,ESP_DES,[RFC2407]
3,ESP_3DES,[RFC2407]
4,ESP_RC5,[RFC2407]
5,ESP_IDEA,[RFC2407]
6,ESP_CAST,[RFC2407]
7,ESP_BLOWFISH,[RFC2407]
8,ESP_3IDEA,[RFC2407]
9,ESP_DES_IV32,[RFC2407]
10,ESP_RC4,[RFC2407]
11,ESP_NULL,[RFC2407]
12,ESP_AES-CBC,[RFC3602]
13,ESP_AES-CTR,[RFC3686]
14,ESP_AES-CCM_8,[RFC4309][1]
15,ESP_AES-CCM_12,[RFC4309][1]
16,ESP_AES-CCM_16,[RFC4309][1]
17,Unassigned,
18,ESP_AES-GCM_8,[RFC4106][1]
19,ESP_AES-GCM_12,[RFC4106][1]
20,ESP_AES-GCM_16,[RFC4106][1]
21,ESP_SEED_CBC,[RFC4196]
22,ESP_CAMELLIA,[RFC4312]
23,ESP_NULL_AUTH_AES-GMAC,"[RFC4543][RFC Errata 
          1821]"
24-248,Unassigned,
249-255,Reserved for private use,
