Opcode,Originator,Operation Name,Reference
0x00,Initiator,NOP-Out,[RFC7143]
0x01,Initiator,SCSI Command,[RFC7143]
0x02,Initiator,SCSI Task Management Function Request,[RFC7143]
0x03,Initiator,Login Request,[RFC7143]
0x04,Initiator,Text Request,[RFC7143]
0x05,Initiator,SCSI Data-Out,[RFC7143]
0x06,Initiator,Logout Request,[RFC7143]
0x10,Initiator,SNACK Request,[RFC7143]
0x1c-0x1e,Initiator,Vendor-specific codes,[RFC7143]
0x20,Target,NOP-In,[RFC7143]
0x21,Target,SCSI Response,[RFC7143]
0x22,Target,SCSI Task Management Function Response,[RFC7143]
0x23,Target,Login Response,[RFC7143]
0x24,Target,Text Response,[RFC7143]
0x25,Target,SCSI Data-In,[RFC7143]
0x26,Target,Logout Response,[RFC7143]
0x31,Target,Ready To Transfer (R2T),[RFC7143]
0x32,Target,Asynchronous Message,[RFC7143]
0x3c-0x3e,Target,Vendor-specific codes,[RFC7143]
0x3f,Target,Reject,[RFC7143]
