Type,Description,Reference
0-2,Unassigned,
3,Administrative group (color),[RFC5305]
4-8,Unassigned,
9,Maximum link bandwidth,[RFC5305]
10,Maximum reservable link bandwidth,[RFC5305]
11,Unreserved bandwidth,[RFC5305]
12-13,Unassigned,
14,Extended Administrative Group,[RFC7308]
15-16,Unassigned,
17,"Generic Metric (TEMPORARY - registered 2023-02-17, expires 2024-02-17)","[draft-ietf-lsr-flex-algo-bw-con-05, Section 2.1]"
18,TE Default metric,[RFC5305]
19-32,Unassigned,
33,Unidirectional Link Delay,[RFC8570]
34,Min/Max Unidirectional Link Delay,[RFC8570]
35,Unidirectional Delay Variation,[RFC8570]
36,Unidirectional Link Loss,[RFC8570]
37,Unidirectional Residual Bandwidth,[RFC8570]
38,Unidirectional Available Bandwidth,[RFC8570]
39,Unidirectional Utilized Bandwidth,[RFC8570]
40-255,Unassigned,
