Type,Description,135,235,236,237,Reference
0,Unassigned,,,,,
1,32-bit Administrative Tag Sub-TLV,y,y,y,y,[RFC5130]
2,64-bit Administrative Tag Sub-TLV,y,y,y,y,[RFC5130]
3,"Prefix Segment Identifier 
        (TEMPORARY - registered 2016-06-29, extension registered 2019-06-03, expires 2020-06-29)",y,y,y,y,[draft-ietf-isis-segment-routing-extensions]
4,Prefix Attribute Flags,y,y,y,y,[RFC7794]
5-10,Unassigned,,,,,
11,IPv4 Source Router ID,y,y,y,y,[RFC7794]
12,IPv6 Source Router ID,y,y,y,y,[RFC7794]
13-31,Unassigned,,,,,
32,BIER Info,y,y,y,y,[RFC8401]
33-255,Unassigned,,,,,
