Value,Description,Reference
0,Reserved,
1,TE Node Capability Descriptor,[RFC5073]
2,Segment Routing Capability,[RFC8667]
3,TE-MESH-GROUP TLV (IPv4),[RFC4972]
4,TE-MESH-GROUP TLV (IPv6),[RFC4972]
5,PCED sub-TLV,[RFC5089]
6,NICKNAME,[RFC7176]
7,TREES,[RFC7176]
8,TREE-RT-IDs,[RFC7176]
9,TREE-USE-IDs,[RFC7176]
10,INT-VLAN,[RFC7176]
11,IPv4 TE Router ID,[RFC-ietf-lsr-isis-rfc5316bis-07]
12,IPv6 TE Router ID,[RFC-ietf-lsr-isis-rfc5316bis-07]
13,TRILL-VER,[RFC7176]
14,VLAN-GROUP,[RFC7176]
15,INT-LABEL,[RFC7176]
16,RBCHANNELS,[RFC7176]
17,AFFINITY,[RFC7176]
18,LABEL-GROUP,[RFC7176]
19,Segment Routing Algorithm,[RFC8667]
20,S-BFD Discriminators,[RFC7883]
21,Node-Admin-Tag,[RFC7917]
22,Segment Routing Local Block (SRLB),[RFC8667]
23,Node MSD,[RFC8491]
24,Segment Routing Mapping Server Preference (SRMS Preference),[RFC8667]
25,SRv6 Capabilities,"[RFC-ietf-lsr-isis-srv6-extensions-18, Section 2]"
26,Flexible Algorithm Definition (FAD),"[RFC-ietf-lsr-flex-algo-25, Section 5.1]"
27,"IS-IS Area Leader Sub-TLV (TEMPORARY - registered 2019-08-08, extension registered 2022-06-21, expires 2023-08-08)",[draft-ietf-lsr-dynamic-flooding]
28,"IS-IS Dynamic Flooding Sub-TLV
        (TEMPORARY - registered 2019-08-08, extension registered 2022-06-21, expires 2023-08-08)",[draft-ietf-lsr-dynamic-flooding]
29,"IP Algorithm Sub-TLV
        (TEMPORARY - registered 2021-04-27, extension registered 2022-03-25, expires 2023-04-27)",[draft-ietf-lsr-ip-flexalgo-01]
30-160,Unassigned,
161,"Flood Reflection Discovery
        (TEMPORARY - registered 2020-08-05, extension registered 2021-06-18, document sent to IESG Evaluation 2022-01-20)",[draft-ietf-lsr-isis-flood-reflection-01]
162-255,Unassigned,
