Parameter Name,Parameter Description,"Used with ""kty"" Value(s)",Parameter Information Class,Change Controller,Reference
kty,Key Type,*,Public,[IESG],"[RFC7517, Section 4.1]"
use,Public Key Use,*,Public,[IESG],"[RFC7517, Section 4.2]"
key_ops,Key Operations,*,Public,[IESG],"[RFC7517, Section 4.3]"
alg,Algorithm,*,Public,[IESG],"[RFC7517, Section 4.4]"
kid,Key ID,*,Public,[IESG],"[RFC7517, Section 4.5]"
x5u,X.509 URL,*,Public,[IESG],"[RFC7517, Section 4.6]"
x5c,X.509 Certificate Chain,*,Public,[IESG],"[RFC7517, Section 4.7]"
x5t,X.509 Certificate SHA-1 Thumbprint,*,Public,[IESG],"[RFC7517, Section 4.8]"
x5t#S256,X.509 Certificate SHA-256 Thumbprint,*,Public,[IESG],"[RFC7517, Section 4.9]"
crv,Curve,EC,Public,[IESG],"[RFC7518, Section 6.2.1.1]"
x,X Coordinate,EC,Public,[IESG],"[RFC7518, Section 6.2.1.2]"
y,Y Coordinate,EC,Public,[IESG],"[RFC7518, Section 6.2.1.3]"
d,ECC Private Key,EC,Private,[IESG],"[RFC7518, Section 6.2.2.1]"
n,Modulus,RSA,Public,[IESG],"[RFC7518, Section 6.3.1.1]"
e,Exponent,RSA,Public,[IESG],"[RFC7518, Section 6.3.1.2]"
d,Private Exponent,RSA,Private,[IESG],"[RFC7518, Section 6.3.2.1]"
p,First Prime Factor,RSA,Private,[IESG],"[RFC7518, Section 6.3.2.2]"
q,Second Prime Factor,RSA,Private,[IESG],"[RFC7518, Section 6.3.2.3]"
dp,First Factor CRT Exponent,RSA,Private,[IESG],"[RFC7518, Section 6.3.2.4]"
dq,Second Factor CRT Exponent,RSA,Private,[IESG],"[RFC7518, Section 6.3.2.5]"
qi,First CRT Coefficient,RSA,Private,[IESG],"[RFC7518, Section 6.3.2.6]"
oth,Other Primes Info,RSA,Private,[IESG],"[RFC7518, Section 6.3.2.7]"
k,Key Value,oct,Private,[IESG],"[RFC7518, Section 6.4.1]"
crv,The subtype of keypair,OKP,Public,[IESG],"[RFC-ietf-jose-cfrg-curves-06, Section 2]"
d,The private key,OKP,Private,[IESG],"[RFC-ietf-jose-cfrg-curves-06, Section 2]"
x,The public key,OKP,Public,[IESG],"[RFC-ietf-jose-cfrg-curves-06, Section 2]"
