Property Name,Context,Reference,Change Controller
action,Alert,[RFC8984],IETF
display,Link,[RFC8984],IETF
features,VirtualLocation,[RFC8984],IETF
freeBusyStatus,"Event, Task",[RFC8984],IETF
kind,Participant,[RFC8984],IETF
participationStatus,Participant,[RFC8984],IETF
privacy,"Event, Task",[RFC8984],IETF
progress,"Task, Participant",[RFC8984],IETF
relation,Relation,[RFC8984],IETF
relativeTo,"OffsetTrigger, Location",[RFC8984],IETF
roles,Participant,[RFC8984],IETF
scheduleAgent,Participant,[RFC8984],IETF
status,Event,[RFC8984],IETF
