Property Name,Property Type,Property Context,Reference/Description,Intended Usage,Change Controller
@type,String,"Event, Task, Group, AbsoluteTrigger, Alert, Link, Location, NDay, OffsetTrigger, Participant, RecurrenceRule, Relation, TimeZone, TimeZoneRule, VirtualLocation","[RFC8984, Section 4.1.1, Section 4.5.2, Section 1.4.11, Section 4.2.5, Section 4.4.6, Section 4.3.3, Section 1.4.10, Section 4.7.2, Section 4.2.6]",common,IETF
acknowledged,UTCDateTime,Alert,"[RFC8984,
	Section 4.5.2]",common,IETF
action,String,Alert,"[RFC8984,
	Section 4.5.2]",common,IETF
alerts,Id[Alert],"Event, Task","[RFC8984,
	Section 4.5.2]",common,IETF
aliases,String[Boolean],TimeZone,"[RFC8984,
	Section 4.7.2]",common,IETF
byDay,NDay[],RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
byHour,UnsignedInt[],RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
byMinute,UnsignedInt[],RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
byMonth,String[],RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
byMonthDay,Int[],RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
bySecond,UnsignedInt[],RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
bySetPosition,Int[],RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
byWeekNo,Int[],RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
byYearDay,Int[],RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
categories,String[Boolean],"Event, Task, Group","[RFC8984,
	Section 4.2.10]",common,IETF
cid,String,Link,"[RFC8984,
	Section 1.4.11]",common,IETF
color,String,"Event, Task, Group","[RFC8984, Section 4.2.11]",common,IETF
comments,String[],TimeZoneRule,"[RFC8984,
	Section 4.7.2]",common,IETF
contentType,String,Link,"[RFC8984,
	Section 1.4.11]",common,IETF
coordinates,String,Location,"[RFC8984, Section 4.2.5]",common,IETF
count,UnsignedInt,RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
created,UTCDateTime,"Event, Task, Group","[RFC8984,
	Section 4.1.5]",common,IETF
day,String,NDay,"[RFC8984,
	Section 4.3.3]",common,IETF
daylight,TimeZoneRule[],TimeZone,"[RFC8984,
	Section 4.7.2]",common,IETF
