Type Name,Reference/Description,Intended Usage,Change Controller
Alert,"[RFC8984, Section 4.5.2]",common,IETF
Boolean,"[RFC8984, Section 1.3]",common,IETF
Duration,"[RFC8984, Section 1.4.6]",common,IETF
Id,"[RFC8984, Section 1.4.1]",common,IETF
Int,"[RFC8984, Section 1.4.2]",common,IETF
LocalDateTime,"[RFC8984, Section 1.4.5]",common,IETF
Link,"[RFC8984, Section 1.4.11]",common,IETF
Location,"[RFC8984, Section 4.2.5]",common,IETF
NDay,"[RFC8984, Section 4.3.3]",common,IETF
Number,"[RFC8984, Section 1.3]",common,IETF
Participant,"[RFC8984, Section 4.4.6]",common,IETF
PatchObject,"[RFC8984, Section 1.4.9]",common,IETF
RecurrenceRule,"[RFC8984, Section 4.3.3]",common,IETF
Relation,"[RFC8984, Section 1.4.10]",common,IETF
SignedDuration,"[RFC8984, Section 1.4.7]",common,IETF
String,"[RFC8984, Section 1.3]",common,IETF
TimeZone,"[RFC8984, Section 4.7.2]",common,IETF
TimeZoneId,"[RFC8984, Section 1.4.8]",common,IETF
TimeZoneRule,"[RFC8984, Section 4.7.2]",common,IETF
UnsignedInt,"[RFC8984, Section 1.4.3]",common,IETF
UTCDateTime,"[RFC8984, Section 1.4.4]",common,IETF
VirtualLocation,"[RFC8984, Section 4.2.6]",common,IETF
