Type,Value,Reference
1,PA-TGS-REQ,[RFC4120]
2,PA-ENC-TIMESTAMP,[RFC4120]
3,PA-PW-SALT,[RFC4120]
4,reserved,[RFC6113]
5,PA-ENC-UNIX-TIME (deprecated),[RFC4120]
6,PA-SANDIA-SECUREID,[RFC4120]
7,PA-SESAME,[RFC4120]
8,PA-OSF-DCE,[RFC4120]
9,PA-CYBERSAFE-SECUREID,[RFC4120]
10,PA-AFS3-SALT,[RFC4120][RFC3961]
11,PA-ETYPE-INFO,[RFC4120]
12,PA-SAM-CHALLENGE,[draft-ietf-cat-kerberos-passwords-04]
13,PA-SAM-RESPONSE,[draft-ietf-cat-kerberos-passwords-04]
14,PA-PK-AS-REQ_OLD,[draft-ietf-cat-kerberos-pk-init-09]
15,PA-PK-AS-REP_OLD,[draft-ietf-cat-kerberos-pk-init-09]
16,PA-PK-AS-REQ,[RFC4556]
17,PA-PK-AS-REP,[RFC4556]
18,PA-PK-OCSP-RESPONSE,[RFC4557]
19,PA-ETYPE-INFO2,[RFC4120]
20,PA-USE-SPECIFIED-KVNO,[RFC4120]
20,PA-SVR-REFERRAL-INFO,[RFC6806]
21,PA-SAM-REDIRECT,[draft-ietf-krb-wg-kerberos-sam-03]
22,PA-GET-FROM-TYPED-DATA,[(embedded in typed data)][RFC4120]
22,TD-PADATA,[(embeds padata)][RFC4120]
23,PA-SAM-ETYPE-INFO,[(sam/otp)][draft-ietf-krb-wg-kerberos-sam-03]
24,PA-ALT-PRINC,[draft-ietf-krb-wg-hw-auth-04]
25,PA-SERVER-REFERRAL,[draft-ietf-krb-wg-kerberos-referrals-11]
26-29,Unassigned,
30,PA-SAM-CHALLENGE2,[draft-ietf-krb-wg-kerberos-sam-03]
31,PA-SAM-RESPONSE2,[draft-ietf-krb-wg-kerberos-sam-03]
32-40,Unassigned,
41,PA-EXTRA-TGT,[Reserved extra TGT][RFC6113]
42-100,Unassigned,
101,TD-PKINIT-CMS-CERTIFICATES,[RFC4556]
102,TD-KRB-PRINCIPAL,[PrincipalName][RFC6113]
103,TD-KRB-REALM,[Realm][RFC6113]
104,TD-TRUSTED-CERTIFIERS,[RFC4556]
105,TD-CERTIFICATE-INDEX,[RFC4556]
106,TD-APP-DEFINED-ERROR,[Application specific][RFC6113]
107,TD-REQ-NONCE,[INTEGER][RFC6113]
108,TD-REQ-SEQ,[INTEGER][RFC6113]
109,TD_DH_PARAMETERS,[RFC4556]
110,Unassigned,
111,TD-CMS-DIGEST-ALGORITHMS,[RFC8636]
112,TD-CERT-DIGEST-ALGORITHMS,[RFC8636]
113-127,Unassigned,
128,PA-PAC-REQUEST,[MSKILE][http://msdn2.microsoft.com/en-us/library/cc206927.aspx]
129,PA-FOR_USER,[MSKILE][http://msdn2.microsoft.com/en-us/library/cc206927.aspx]
130,PA-FOR-X509-USER,[MSKILE][http://msdn2.microsoft.com/en-us/library/cc206927.aspx]
131,PA-FOR-CHECK_DUPS,[MSKILE][http://msdn2.microsoft.com/en-us/library/cc206927.aspx]
132,PA-AS-CHECKSUM,[MSKILE][http://msdn2.microsoft.com/en-us/library/cc206927.aspx]
133,PA-FX-COOKIE,[RFC6113]
134,PA-AUTHENTICATION-SET,[RFC6113]
135,PA-AUTH-SET-SELECTED,[RFC6113]
136,PA-FX-FAST,[RFC6113]
137,PA-FX-ERROR,[RFC6113]
138,PA-ENCRYPTED-CHALLENGE,[RFC6113]
139-140,Unassigned,
141,PA-OTP-CHALLENGE,[RFC6560]
142,PA-OTP-REQUEST,[RFC6560]
143,PA-OTP-CONFIRM (OBSOLETED),[RFC6560]
144,PA-OTP-PIN-CHANGE,[RFC6560]
145,PA-EPAK-AS-REQ,[(sshock@gmail.com)][RFC6113]
146,PA-EPAK-AS-REP,[(sshock@gmail.com)][RFC6113]
147,PA_PKINIT_KX,[RFC8062]
148,PA_PKU2U_NAME,[draft-zhu-pku2u]
149,PA-REQ-ENC-PA-REP,[RFC6806]
150,PA_AS_FRESHNESS,[RFC8070]
151,PA-SPAKE,[draft-ietf-kitten-krb-spake-preauth]
152,PA-REDHAT-IDP-OAUTH2,[Pavel_Březina]
153,PA-REDHAT-PASKEY,[Pavel_Březina]
154-164,Unassigned,
165,PA-SUPPORTED-ETYPES,[MSKILE][http://msdn2.microsoft.com/en-us/library/cc206927.aspx]
166,PA-EXTENDED_ERROR,[MSKILE][http://msdn2.microsoft.com/en-us/library/cc206927.aspx]
