Identifier,Reference
sig-rsa-md5-hex,[RFC2792]
sig-rsa-md5-base64,[RFC2792]
sig-rsa-sha1-hex,[RFC2792]
sig-rsa-sha1-base64,[RFC2792]
sig-dsa-sha1-hex,[RFC2792]
sig-dsa-sha1-base64,[RFC2792]
sig-x509-sha1-hex,[RFC5708]
sig-x509-sha1-base64,[RFC5708]
sig-x509-sha256-hex,[RFC5708]
sig-x509-sha256-base64,[RFC5708]
sig-x509-sha512-hex,[RFC5708]
sig-x509-sha512-base64,[RFC5708]
sig-x509-ripemd160-hex,[RFC5708]
sig-x509-ripemd160-base64,[RFC5708]
sig-rsa-sha256-hex,[RFC5708]
sig-rsa-sha256-base64,[RFC5708]
sig-rsa-sha512-hex,[RFC5708]
sig-rsa-sha512-base64,[RFC5708]
sig-rsa-ripemd160-hex,[RFC5708]
sig-rsa-ripemd160-base64,[RFC5708]
