Value,Description,Purpose,Reference
0,KINK_OK,No error detected,[RFC4430]
1,KINK_PROTOERR,The message was malformed,[RFC4430]
2,KINK_INVDOI,Invalid DOI,[RFC4430]
3,KINK_INVMAJ,Invalid Major Version,[RFC4430]
4,Reserved,,[RFC4430]
5,KINK_INTERR,An unrevoverable internal error,[RFC4430]
6,KINK_BADQMVERS,Unsupported Quick Mode Version,[RFC4430]
7,KINK_U2UDENIED,Returning a TGT is prohibited,[RFC4430]
8-8191,Unassigned,,[RFC4430]
8192-16383,Private use,,[RFC4430]
16384-4294967295,Reserved,,[RFC4430]
