Decimal,Name,Description,Reference
0,Reserved,Reserved for future use,[IANA]
1,nisSchema,Network Info Service Schema,[RFC2307]
2,NameForm,Naming Plan,[RFC2377]
3,AuxObject,Auxiliary Object Class,[RFC2377]
4,vendorName,Vendor Name,[RFC3045]
5,vendorVersion,Vendor Version,[RFC3045]
6,pcimSchema,Policy Core Information Model LDAP Schema,[RFC3703]
7,LCUP,LDAP Client Update Protocol,[RFC3928]
8,cancelOp,LDAP Cancel Operation,[RFC3909]
9,pcelsSchema,PCELS Schema,[RFC4104]
10,uddi,"Universal Description, Discovery & Integration",[RFC4403]
11,vPIM,Voice Messaging Directory Service,[RFC4237]
12,assertion,Assertion Control,[RFC4528]
13,ReadEntry,Read Entry Controls,[RFC4527]
14,increment,LDAP Modify-Increment,[RFC4525]
15,x509,x.509 Certificates,[RFC4523]
16,uuid,entryUUID,[RFC4530]
17,LBURP,LDAP Bulk Update/Replication Protocol,[RFC4373]
18,ASN1 module,LDAP ASN.1 Module,[RFC4511]
19,turn,LDAP Turn Operation,[RFC4531]
20,entryDN,LDAP entryDN Operational Attribute,[RFC5020]
21,txn,LDAP Transactions,[RFC5805]
22,dontUseCopy,LDAP Don't Use Copy Control,[RFC6171]
23,xmpp,LDAP schema for XMPP,[RFC8284]
