Name,Code,Owner,Reference
success,0,IESG,[RFC4511]
operationsError,1,IESG,[RFC4511]
protocolError,2,IESG,[RFC4511]
timeLimitExceeded,3,IESG,[RFC4511]
sizeLimitExceeded,4,IESG,[RFC4511]
compareFalse,5,IESG,[RFC4511]
compareTrue,6,IESG,[RFC4511]
authMethodNotSupported,7,IESG,[RFC4511]
strongerAuthRequired,8,IESG,[RFC4511]
reserved (partialResults),9,IESG,[RFC4511]
referral,10,IESG,[RFC4511]
adminLimitExceeded,11,IESG,[RFC4511]
unavailableCriticalExtension,12,IESG,[RFC4511]
confidentialityRequired,13,IESG,[RFC4511]
saslBindInProgress,14,IESG,[RFC4511]
noSuchAttribute,16,IESG,[RFC4511]
undefinedAttributeType,17,IESG,[RFC4511]
inappropriateMatching,18,IESG,[RFC4511]
constraintViolation,19,IESG,[RFC4511]
attributeOrValueExists,20,IESG,[RFC4511]
invalidAttributeSyntax,21,IESG,[RFC4511]
noSuchObject,32,IESG,[RFC4511]
aliasProblem,33,IESG,[RFC4511]
invalidDNSyntax,34,IESG,[RFC4511]
reserved (isLeaf),35,IESG,[RFC4511]
aliasDereferencingProblem,36,IESG,[RFC4511]
reserved,37-47,IESG,
inappropriateAuthentication,48,IESG,[RFC4511]
invalidCredentials,49,IESG,[RFC4511]
insufficientAccessRights,50,IESG,[RFC4511]
busy,51,IESG,[RFC4511]
unavailable,52,IESG,[RFC4511]
unwillingToPerform,53,IESG,[RFC4511]
loopDetect,54,IESG,[RFC4511]
reserved,55-63,IESG,
namingViolation,64,IESG,[RFC4511]
objectClassViolation,65,IESG,[RFC4511]
notAllowedOnNonLeaf,66,IESG,[RFC4511]
notAllowedOnRDN,67,IESG,[RFC4511]
entryAlreadyExists,68,IESG,[RFC4511]
objectClassModsProhibited,69,IESG,[RFC4511]
reserved (resultsTooLarge),70,IESG,[RFC4511]
reserved,71-79,IESG,
other,80,IESG,[RFC4511]
reserved (APIs),81-90,IESG,[RFC4511]
reserved (LDAP APIs),91-112,,
lcupResourcesExhausted,113,IESG,[RFC3928]
lcupSecurityViolation,114,IESG,[RFC3928]
lcupInvalidData,115,IESG,[RFC3928]
lcupUnsupportedScheme,116,IESG,[RFC3928]
lcupReloadRequired,117,IESG,[RFC3928]
canceled,118,IESG,[RFC3909]
noSuchOperation,119,IESG,[RFC3909]
tooLate,120,IESG,[RFC3909]
cannotCancel,121,IESG,[RFC3909]
assertionFailed,122,IESG,[RFC4528]
authorizationDenied,123,WELTMAN,[RFC4370]
"First Come, First Serve Range",4096-16383,,
e-syncRefreshRequired,4096,"[Kurt_Zeilenga]
        [Jong_Hyuk_Choi]",[RFC4533]
