Value,Name,Reference
0x0000,Reserved,
0x0001,Notification,[RFC5036]
0x0100,Hello,[RFC5036]
0x0200,Initialization,[RFC5036]
0x0201,KeepAlive,[RFC5036]
0x0202,Capability,[RFC5561]
0x0300,Address,[RFC5036]
0x0301,Address Withdraw,[RFC5036]
0x0400,Label Mapping,[RFC5036]
0x0401,Label Request,[RFC5036]
0x0402,Label Withdraw,[RFC5036]
0x0403,Label Release,[RFC5036]
0x0404,Label Abort Request,[RFC5036]
0x0500,Call Setup,[RFC3475]
0x0501,Call Release,[RFC3475]
0x0700,RG Connect Message,[RFC7275]
0x0701,RG Disconnect Message,[RFC7275]
0x0702,RG Notification Message,[RFC7275]
0x0703,RG Application Data Message,[RFC7275]
0x0704-0x070F,Reserved for future ICCP use,[RFC7275]
