Value,Description,Reference
0x0000,Reserved,[RFC8223]
0x0001,LDPv4 Tunneling,[RFC8223]
0x0002,LDPv6 Tunneling,[RFC8223]
0x0003,mLDP Tunneling,[RFC8223]
0x0004,LDPv4 Remote LFA,[RFC8223]
0x0005,LDPv6 Remote LFA,[RFC8223]
0x0006,LDP FEC 128 PW,[RFC8223]
0x0007,LDP FEC 129 PW,[RFC8223]
0x0008,LDP Session Protection,[RFC8223]
0x0009,LDP ICCP,[RFC8223]
0x000A,LDP P2MP PW,[RFC8223]
0x000B,mLDP Node Protection,[RFC8223]
0x000C,LDPv4 Intra-area FECs,[RFC8223]
0x000D,LDPv6 Intra-area FECs,[RFC8223]
0x000E-0xF7FF,Unassigned,
0xF800-0xFBFF,Available for Private Use,[RFC8223]
0xFC00-0xFFFE,Available for Experimental Use,[RFC8223]
0xFFFF,Reserved,[RFC8223]
