Numeric Identifier,Name,Reference
0x00000000-0x00000004,Reserved,[RFC8554]
0x00000005,LMS_SHA256_M32_H5,"[RFC8554, Section 5]"
0x00000006,LMS_SHA256_M32_H10,"[RFC8554, Section 5]"
0x00000007,LMS_SHA256_M32_H15,"[RFC8554, Section 5]"
0x00000008,LMS_SHA256_M32_H20,"[RFC8554, Section 5]"
0x00000009,LMS_SHA256_M32_H25,"[RFC8554, Section 5]"
0x0000000A,LMS_SHA256_M24_H5,[draft-fluhrer-lms-more-parm-sets-04]
0x0000000B,LMS_SHA256_M24_H10,[draft-fluhrer-lms-more-parm-sets-04]
0x0000000C,LMS_SHA256_M24_H15,[draft-fluhrer-lms-more-parm-sets-04]
0x0000000D,LMS_SHA256_M24_H20,[draft-fluhrer-lms-more-parm-sets-04]
0x0000000E,LMS_SHA256_M24_H25,[draft-fluhrer-lms-more-parm-sets-04]
0x0000000F,LMS_SHAKE_M32_H5,[draft-fluhrer-lms-more-parm-sets-04]
0x00000010,LMS_SHAKE_M32_H10,[draft-fluhrer-lms-more-parm-sets-04]
0x00000011,LMS_SHAKE_M32_H15,[draft-fluhrer-lms-more-parm-sets-04]
0x00000012,LMS_SHAKE_M32_H20,[draft-fluhrer-lms-more-parm-sets-04]
0x00000013,LMS_SHAKE_M32_H25,[draft-fluhrer-lms-more-parm-sets-04]
0x00000014,LMS_SHAKE_M24_H5,[draft-fluhrer-lms-more-parm-sets-04]
0x00000015,LMS_SHAKE_M24_H10,[draft-fluhrer-lms-more-parm-sets-04]
0x00000016,LMS_SHAKE_M24_H15,[draft-fluhrer-lms-more-parm-sets-04]
0x00000017,LMS_SHAKE_M24_H20,[draft-fluhrer-lms-more-parm-sets-04]
0x00000018,LMS_SHAKE_M24_H25,[draft-fluhrer-lms-more-parm-sets-04]
0x00000019-0xDDDDDDDC,Unassigned,
0xDDDDDDDD-0xFFFFFFFF,Reserved for Private Use,[RFC8554]
