Value,Description,Reference
0,Reserved,
1,CCID,[RFC4204]
2,NODE_ID,[RFC4204]
3,LINK_ID,[RFC4204]
4,INTERFACE_ID,[RFC4204]
5,MESSAGE_ID,[RFC4204]
6,CONFIG,[RFC4204]
7,HELLO,[RFC4204]
8,BEGIN_VERIFY,[RFC4204]
9,BEGIN_VERIFY_ACK,[RFC4204]
10,VERIFY_ID,[RFC4204]
11,TE_LINK,[RFC4204]
12,DATA_LINK,[RFC4204]
13,CHANNEL_STATUS,[RFC4204]
14,CHANNEL_STATUS_REQUEST,[RFC4204]
15-19,Unassigned,
20,ERROR_CODE,[RFC4204]
21,TRACE,[RFC4207]
22,TRACE REQ,[RFC4207]
23-247,Unassigned,
248-255,Private Use,[RFC4204]
