Value,Name,Reference
0,End,[RFC2730]
1,Lease Time,[RFC2730]
2,Server Identifier,[RFC2730]
3,Lease Identifier,[RFC2730]
4,Multicast Scope,[RFC2730]
5,Option Request List,[RFC2730]
6,Start Time,[RFC2730]
7,Number of Addresses Requested,[RFC2730]
8,Requested Language,[RFC2730]
9,Multicast Scope List,[RFC2730]
10,List of Address Ranges,[RFC2730]
11,Current Time,[RFC2730]
12,Feature List,[RFC2730]
13,Retry Time,[RFC2730]
14,Minimum Lease Time,[RFC2730]
15,Maximum Start Time,[RFC2730]
16,Error,[RFC2730]
17,Multicast Scope Nesting State,[RFC2907]
