Subcode,Symbolic Name,O-bit,Reference
0,Unspecific,(MC),[RFC2909]
1,Malformed Attribute List,(MC),[RFC2909]
2,Unrecognized Required Attribute,(CC),[RFC2909]
3-4,Unassigned,,
5,Attribute Length Error,(MC),[RFC2909]
6-9,Unassigned,,
10,Invalid Address field,(CC),[RFC2909]
11,Invalid Mask field,(CC),[RFC2909]
12,Non-Contiguous Mask,(CC),[RFC2909]
13,Unrecognized Address Family,(MC),[RFC2909]
14,Claim Type Error,(CC),[RFC2909]
15,Origin Domain ID Error,(CC),[RFC2909]
16,Origin Node ID Error,(CC),[RFC2909]
17,Claim Lifetime Too Short,(CC),[RFC2909]
18,Claim Lifetime Too Long,(CC),[RFC2909]
19,Claim Timestamp Too Old,(CC),[RFC2909]
20,Claim Timestamp Too New,(CC),[RFC2909]
21,Claim Prefix Size Too Small,(CC),[RFC2909]
22,Claim Prefix Size Too Large,(CC),[RFC2909]
23,Illegal Origin Role Error,(CC),[RFC2909]
24,No Appropriate Parent Prefix,(CC),[RFC2909]
25,No Appropriate Child Prefix,(CC),[RFC2909]
26,No Appropriate Internal Prefix,(CC),[RFC2909]
27,No Appropriate Sibling Prefix,(CC),[RFC2909]
28,Claim Holdtime Too Short,(CC),[RFC2909]
29,Claim Holdtime Too Long,(CC),[RFC2909]
