Decimal,Name,Description,Reference
1,pix-x,horizontal pixels,[RFC2534]
2,pix-y,vertical pixels,[RFC2534]
3,dpi,dots-per-inch,[RFC2534]
4,ua-media,ua-media,[RFC2534]
5,paper-size,paper-size,[RFC2534]
6,color,color,[RFC2534]
7,size-x,size-x,[RFC2879]
8,size-y,size-y,[RFC2879]
9,dpi-xyratio,dpi-xyratio,[RFC2879]
10,color-levels,color-levels,[RFC2879]
11,color-space,color-space,[RFC2879]
12,CIELAB-L-depth,CIELAB-L-depth,[RFC2879]
13,CIELAB-A-depth,CIELAB-A-depth,[RFC2879]
14,CIELAB-B-depth,CIELAB-B-depth,[RFC2879]
15,CIELAB-L-min,CIELAB-L-min,[RFC2879]
16,CIELAB-L-max,CIELAB-L-max,[RFC2879]
17,CIELAB-a-min,CIELAB-a-min,[RFC2879]
18,CIELAB-a-max,CIELAB-a-max,[RFC2879]
19,CIELAB-b-min,CIELAB-b-min,[RFC2879]
20,CIELAB-b-max,CIELAB-b-max,[RFC2879]
21,image-file-structure,image-file-structure,[RFC2879]
22,image-coding,image-coding,[RFC2879]
23,image-coding-constraint,image-coding-constraint,[RFC2879]
24,JBIG-stripe-size,JBIG-stripe-size,[RFC2879]
25,image-interleave,image-interleave,[RFC2879]
26,color-subsampling,color-subsampling,[RFC2879]
27,MRC-mode,MRC-mode,[RFC2879]
28,MRC-max-stripe-size,MRC-max-stripe-size,[RFC2879]
29,color-illuminant,color-illuminant,[RFC2879]
30,type,type,[RFC2913]
31,charset,charset,[RFC2987]
32,language,language,[RFC2987]
33,unknown-character-replacement,unknown-character-replacement,[RFC5259]
