smime-type Value,Reference
authEnveloped-data,"[RFC-ietf-lamps-rfc5751-bis-12, Section 3.2.2]"
certs-only,"[RFC-ietf-lamps-rfc5751-bis-12, Section 3.2.2]"
CMC-Request,"[RFC5273, Section 3]"
CMC-Response,"[RFC5273, Section 3]"
compressed-data,"[RFC-ietf-lamps-rfc5751-bis-12, Section 3.2.2]"
enveloped-data,"[RFC-ietf-lamps-rfc5751-bis-12, Section 3.2.2]"
enveloped-x400,"[RFC3854, Section 3.3.1]"
server-generated-key,"[RFC7030, Section 4.4.2]"
signed-data,"[RFC-ietf-lamps-rfc5751-bis-12, Section 3.2.2]"
signed-receipt,"[RFC2634, Section 2.4]"
signed-x400,"[RFC3854, Section 3.2.1]"
