Header Field Name,Template,Protocol,Status,Reference
Apparently-To,prov/apparently-to,mail,,[RFC2076]
Author,,mail,,[RFC9057]
EDIINT-Features,,mail,,[RFC6017]
Eesst-Version,,mail,,[RFC7681]
Errors-To,prov/errors-to,mail,,[RFC2076]
Form-Sub,,mail,,[draft-levine-mailbomb-header]
Jabber-ID,prov/jabber-id,mail,,[RFC7259]
Jabber-ID,prov/jabber-id,netnews,,[RFC7259]
MMHS-Authorizing-Users,,mail,,[RFC7912]
Privicon,,mail,,[draft-koenig-privicons]
SIO-Label,,mail,,[RFC7444]
SIO-Label-History,,mail,,[RFC7444]
X-Archived-At,prov/x-archived-at,mail,deprecated,[RFC5064]
X-Archived-At,prov/x-archived-at,netnews,deprecated,[RFC5064]
X-Mittente,,mail,,[RFC6109]
X-PGP-Sig,prov/x-pgp-sig,netnews,,[ftp://ftp.isc.org/pub/pgpcontrol/FORMAT][https://ftp.isc.org/pub/pgpcontrol/FORMAT]
X-Ricevuta,,mail,,[RFC6109]
X-Riferimento-Message-ID,,mail,,[RFC6109]
X-TipoRicevuta,,mail,,[RFC6109]
X-Trasporto,,mail,,[RFC6109]
X-VerificaSicurezza,,mail,,[RFC6109]
