Value,Data Type,Reference
0,Pre-shared,[RFC3830]
1,PSK ver msg,[RFC3830]
2,Public key,[RFC3830]
3,PK ver msg,[RFC3830]
4,D-H init,[RFC3830]
5,D-H resp,[RFC3830]
6,Error,[RFC3830]
7,DHHMAC init,[RFC4650]
8,DHHMAC resp,[RFC4650]
9,RSA-R I_MSG,[RFC4738]
10,RSA-R R_MSG,[RFC4738]
11,REQUEST_INIT_PSK,[RFC6043]
12,REQUEST_INIT_PK,[RFC6043]
13,REQUEST_RESP,[RFC6043]
14,TRANSFER_INIT,[RFC6043]
15,TRANSFER_RESP,[RFC6043]
16,RESOLVE_INIT_PSK,[RFC6043]
17,RESOLVE_INIT_PK,[RFC6043]
18,RESOLVE_RESP,[RFC6043]
19,REQUEST_KEY_PSK,[RFC6267]
20,REQUEST_KEY_PKE,[RFC6267]
21,REQUEST_KEY_RESP,[RFC6267]
22,I_MESSAGE_1,[RFC6267]
23,R_MESSAGE_1,[RFC6267]
24,I_MESSAGE_2,[RFC6267]
25,R_MESSAGE_2,[RFC6267]
26,SAKKE msg,[RFC6509]
27-240,Unassigned,
241-255,Reserved for Private Use,
