Value,Error No,Reference
0,Auth failure,[RFC3830]
1,Invalid TS,[RFC3830]
2,Invalid PRF,[RFC3830]
3,Invalid MAC,[RFC3830]
4,Invalid EA,[RFC3830]
5,Invalid HA,[RFC3830]
6,Invalid DH,[RFC3830]
7,Invalid ID,[RFC3830]
8,Invalid Cert,[RFC3830]
9,Invalid SP,[RFC3830]
10,Invalid SPpar,[RFC3830]
11,Invalid DT,[RFC3830]
12,Unspecified error,[RFC3830]
13,Unsupported message type,[RFC4738]
14,Invalid TICKET,[RFC6043]
15,Invalid TPpar,[RFC6043]
16-240,Unassigned,
241-255,Reserved for Private Use,
