Value,Name,Reference
0,notification accepted,[RFC6098]
1-63,Unassigned,
64,reason unspecified,[RFC6098]
65,administratively prohibited,[RFC6098]
66,insufficient resources,[RFC6098]
67,mobile node failed authentication,[RFC6098]
68,home agent failed authentication,[RFC6098]
69,notification Identification mismatch,[RFC6098]
70-126,Unassigned,
127,Reserved for Experimental Use,[RFC6098]
128,reason unspecified,[RFC6098]
129,administratively prohibited,[RFC6098]
130,insufficient resources,[RFC6098]
131,mobile node failed authentication,[RFC6098]
132,foreign agent failed authentication,[RFC6098]
133,notification Identification mismatch,[RFC6098]
134-190,Unassigned,
191,Reserved for Experimental Use,[RFC6098]
192,reason unspecified,[RFC6098]
193,administratively prohibited,[RFC6098]
194,insufficient resources,[RFC6098]
195,foreign agent failed authentication,[RFC6098]
196,home agent failed authentication,[RFC6098]
197,notification Identification mismatch,[RFC6098]
198-254,Unassigned,
255,Reserved for Experimental Use,[RFC6098]
