Value,Description,Reference
1,NAI,[RFC4283]
2,IPv6 Address,[RFC-ietf-dmm-4283mnids-08]
3,IMSI,[RFC-ietf-dmm-4283mnids-08]
4,P-TMSI,[RFC-ietf-dmm-4283mnids-08]
5,EUI-48 address,[RFC-ietf-dmm-4283mnids-08]
6,EUI-64 address,[RFC-ietf-dmm-4283mnids-08]
7,GUTI,[RFC-ietf-dmm-4283mnids-08]
8,DUID-LLT,[RFC-ietf-dmm-4283mnids-08]
9,DUID-EN,[RFC-ietf-dmm-4283mnids-08]
10,DUID-LL,[RFC-ietf-dmm-4283mnids-08]
11,DUID-UUID,[RFC-ietf-dmm-4283mnids-08]
12-15,Reserved,[RFC-ietf-dmm-4283mnids-08]
16-255,Unassigned,
