Value,Description,Reference
0,Unspecified,[RFC5846]
1,Administrative Reason,[RFC5846]
2,Inter-MAG Handover - same Access Type,[RFC5846]
3,Inter-MAG Handover - different Access Type,[RFC5846]
4,Inter-MAG Handover - Unknown,[RFC5846]
5,User Initiated Session(s) Termination,[RFC5846]
6,Access Network Session(s) Termination,[RFC5846]
7,Possible Out-of Sync BCE State,[RFC5846]
8-127,Unassigned,
128,Per-Peer Policy,[RFC5846]
129,Revoking Mobility Node Local Policy,[RFC5846]
130-249,Unassigned,
250-255,Reserved for Testing Purposes Only,[RFC5846]
