Value,Meaning,Reference
0,No Return Code,[RFC-ietf-mpls-rfc4379bis-09]
1,Malformed echo request received,[RFC-ietf-mpls-rfc4379bis-09]
2,One or more of the TLVs was not understood,[RFC-ietf-mpls-rfc4379bis-09]
3,Replying router is an egress for the FEC at stack-depth <RSC>,[RFC-ietf-mpls-rfc4379bis-09]
4,Replying router has no mapping for the FEC at stack-depth <RSC>,[RFC-ietf-mpls-rfc4379bis-09]
5,Downstream Mapping Mismatch (See [1]),[RFC-ietf-mpls-rfc4379bis-09]
6,Upstream Interface Index Unknown (See [1]),[RFC-ietf-mpls-rfc4379bis-09]
7,Reserved,[RFC-ietf-mpls-rfc4379bis-09]
8,Label switched at stack-depth <RSC>,[RFC-ietf-mpls-rfc4379bis-09]
9,Label switched but no MPLS forwarding at stack-depth <RSC>,[RFC-ietf-mpls-rfc4379bis-09]
10,Mapping for this FEC is not the given label at stack-depth <RSC>,[RFC-ietf-mpls-rfc4379bis-09]
11,No label entry at stack-depth <RSC>,[RFC-ietf-mpls-rfc4379bis-09]
12,Protocol not associated with interface at FEC stack-depth <RSC>,[RFC-ietf-mpls-rfc4379bis-09]
13,"Premature termination of ping due to label stack             
shrinking to a single label",[RFC-ietf-mpls-rfc4379bis-09]
14,See DDM TLV for meaning of Return Code and Return Subcode,[RFC-ietf-mpls-rfc4379bis-09]
15,Label switched with FEC change,[RFC-ietf-mpls-rfc4379bis-09]
16,Proxy Ping not authorized,[RFC7555]
17,Proxy Ping parameters need to be modified,[RFC7555]
18,MPLS Echo Request could not be sent,[RFC7555]
19,Replying router has FEC mapping for topmost FEC,[RFC7555]
20,One or more TLVs not returned due to MTU size,[RFC7743]
21,OAM Problem/Unsupported BFD Version,[RFC7759]
22,OAM Problem/Unsupported BFD Encapsulation format,[RFC7759]
23,OAM Problem/Unsupported BFD Authentication Type,[RFC7759]
24,OAM Problem/Mismatch of BFD Authentication Key ID,[RFC7759]
25,OAM Problem/Unsupported Timestamp Format,[RFC7759]
26,OAM Problem/Unsupported Delay Mode,[RFC7759]
27,OAM Problem/Unsupported Loss Mode,[RFC7759]
28,OAM Problem/Delay variation unsupported,[RFC7759]
29,OAM Problem/Dyadic mode unsupported,[RFC7759]
30,OAM Problem/Loopback mode unsupported,[RFC7759]
31,OAM Problem/Combined mode unsupported,[RFC7759]
32,OAM Problem/Fault management signaling unsupported,[RFC7759]
33,OAM Problem/Unable to create fault management association,[RFC7759]
34,OAM Problem/PM Configuration Error,[RFC7759]
35-251,Unassigned,
252-255,Reserved for Vendor Private Use,[RFC-ietf-mpls-rfc4379bis-09]
