Sub-Type,Sub-TLV Name,Reference,Comment
0,Reserved,[RFC9041],
1,LDP IPv4 prefix,[RFC8029],
2,LDP IPv6 prefix,[RFC8029],
3,RSVP IPv4 LSP,[RFC8029],
4,RSVP IPv6 LSP,[RFC8029],
5,Unassigned,,
6,VPN IPv4 prefix,[RFC8029],
7,VPN IPv6 prefix,[RFC8029],
8,L2 VPN endpoint,[RFC8029],
9,"""FEC 128"" Pseudowire - IPv4",[RFC8029],DEPRECATED
10,"""FEC 128"" Pseudowire - IPv4",[RFC8029],
11,"""FEC 129"" Pseudowire - IPv4",[RFC8029],
12,BGP labeled IPv4 prefix,[RFC8029],
13,BGP labeled IPv6 prefix,[RFC8029],
14,Generic IPv4 prefix,[RFC8029],
15,Generic IPv6 prefix,[RFC8029],
16,Nil FEC,[RFC8029],
17,RSVP P2MP IPv4 Session,[RFC6425],
18,RSVP P2MP IPv6 Session,[RFC6425],
19,Multicast P2MP LDP FEC Stack,[RFC6425],
20,Multicast MP2MP LDP FEC Stack,[RFC6425],
21,Unassigned,,
22,Static LSP,[RFC6426],
23,Static Pseudowire,[RFC6426],
24,"""FEC 128"" Pseudowire - IPv6",[RFC8029],
25,"""FEC 129"" Pseudowire - IPv6",[RFC8029],
26,IPv4 RSVP Tunnel,[RFC7110],
27,IPv6 RSVP Tunnel,[RFC7110],
28,Static Tunnel,[RFC7110],
29,HSMP-upstream LDP FEC Stack,[RFC7140],
30,HSMP-downstream LDP FEC Stack,[RFC7140],
31,MT LDP IPv4 prefix,[RFC7307],
32,MT LDP IPv6 prefix,[RFC7307],
33,Entropy label FEC,[RFC8012],
34,IPv4 IGP-Prefix Segment ID,"[RFC8287, Section 5.1][RFC8690]",
35,IPv6 IGP-Prefix Segment ID,"[RFC8287, Section 5.2][RFC8690]",
36,IGP-Adjacency Segment ID,"[RFC8287, Section 5.3][RFC8690]",
37,P2MP Pseudowire sub-TLV,[RFC8339],
38,"PeerAdj SID Sub-TLV (TEMPORARY - registered 2021-05-11, extension registered 2023-06-08, expires 2024-05-11)",[draft-ietf-mpls-sr-epe-oam-08],
39,"PeerNode SID Sub-TLV (TEMPORARY - registered 2021-05-11, extension registered 2023-06-08, expires 2024-05-11)",[draft-ietf-mpls-sr-epe-oam-08],
40,"PeerSet SID Sub-TLV (TEMPORARY - registered 2021-05-11, extension registered 2023-06-08, expires 2024-05-11)",[draft-ietf-mpls-sr-epe-oam-08],
41,"P2MP Policy MPLS Candidate Path (TEMPORARY - registered 2023-04-27, expires 2024-04-27)",[draft-ietf-pim-p2mp-policy-ping-03],
42,EVPN MAC/IP,[RFC-ietf-bess-evpn-lsp-ping-11],
43,EVPN Inclusive Multicast,[RFC-ietf-bess-evpn-lsp-ping-11],
44,EVPN Ethernet Auto-Discovery,[RFC-ietf-bess-evpn-lsp-ping-11],
45,EVPN IP Prefix,[RFC-ietf-bess-evpn-lsp-ping-11],
46-31739,Unassigned,,
31740-31743,Reserved for Experimental Use,[RFC9041],"Not to be assigned. This range is for sub-TLVs that require an error message if not recognized. [RFC9041, Section 3.1]"
31744,IPv4 BGP Classful Transport,[draft-ietf-idr-bgp-ct-03],
31745,IPv6 BGP Classful Transport,[draft-ietf-idr-bgp-ct-03],
31746-64507,Unassigned,,
64508-64511,Reserved for Experimental Use,[RFC9041],Not to be assigned. This range is for sub-TLVs that can be silently dropped if not recognized.
64512-65535,Unassigned,,
