Sub-Type,Sub-TLV Name,Reference,Comment
0,Reserved,[RFC7759],
1-99,Unassigned,,
100,BFD Configuration,[RFC7759],
101,BFD Local Discriminator,[RFC7759],
102,BFD Negotiation Timer Parameters,[RFC7759],
103,BFD Authentication,[RFC7759],
104,Traffic Class,[RFC7759],
105-199,Unassigned,,
200,Performance Monitoring,[RFC7759],
201,PM Loss Measurement,[RFC7759],
202,PM Delay Measurement,[RFC7759],
203-299,Unassigned,,
300,Fault Management Signal,[RFC7759],
301-399,Unassigned,,
400,Source MEP-ID,[RFC7759],
401-31743,Unassigned,,
31744-32767,Reserved for Vendor or Private Use,[RFC-ietf-mpls-rfc4379bis-09],
32768-64511,Unassigned,,
64512-65535,Reserved for Vendor or Private Use,[RFC-ietf-mpls-rfc4379bis-09],
