Name,Resource Type,Reference
Channel-Identifier,Generic,[RFC6787]
Accept,Generic,[RFC2616]
Active-Request-Id-List,Generic,[RFC6787]
Proxy-Sync-Id,Generic,[RFC6787]
Accept-Charset,Generic,[RFC2616]
Content-Type,Generic,[RFC6787]
Content-ID,Generic,[RFC2392][RFC2046][RFC5322]
Content-Base,Generic,[RFC6787]
Content-Encoding,Generic,[RFC6787]
Content-Location,Generic,[RFC6787]
Content-Length,Generic,[RFC6787]
Fetch-Timeout,Generic,[RFC6787]
Cache-Control,Generic,[RFC6787]
Logging-Tag,Generic,[RFC6787]
Set-Cookie,Generic,[RFC6787]
Vendor-Specific,Generic,[RFC6787]
Jump-Size,Synthesizer,[RFC6787]
Kill-On-Barge-In,Synthesizer,[RFC6787]
Speaker-Profile,Synthesizer,[RFC6787]
Completion-Cause,Synthesizer,[RFC6787]
Completion-Reason,Synthesizer,[RFC6787]
Voice-Parameter,Synthesizer,[RFC6787]
Prosody-Parameter,Synthesizer,[RFC6787]
Speech-Marker,Synthesizer,[RFC6787]
Speech-Language,Synthesizer,[RFC6787]
Fetch-Hint,Synthesizer,[RFC6787]
Audio-Fetch-Hint,Synthesizer,[RFC6787]
Failed-URI,Synthesizer,[RFC6787]
Failed-URI-Cause,Synthesizer,[RFC6787]
Speak-Restart,Synthesizer,[RFC6787]
Speak-Length,Synthesizer,[RFC6787]
Load-Lexicon,Synthesizer,[RFC6787]
Lexicon-Search-Order,Synthesizer,[RFC6787]
Confidence-Threshold,Recognizer,[RFC6787]
Sensitivity-Level,Recognizer,[RFC6787]
Speed-Vs-Accuracy,Recognizer,[RFC6787]
N-Best-List-Length,Recognizer,[RFC6787]
Input-Type,Recognizer,[RFC6787]
No-Input-Timeout,Recognizer,[RFC6787]
Recognition-Timeout,Recognizer,[RFC6787]
Waveform-URI,Recognizer,[RFC6787]
Input-Waveform-URI,Recognizer,[RFC6787]
Completion-Cause,Recognizer,[RFC6787]
Completion-Reason,Recognizer,[RFC6787]
Recognizer-Context-Block,Recognizer,[RFC6787]
Start-Input-Timers,Recognizer,[RFC6787]
Speech-Complete-Timeout,Recognizer,[RFC6787]
Speech-Incomplete-Timeout,Recognizer,[RFC6787]
Dtmf-Interdigit-Timeout,Recognizer,[RFC6787]
Dtmf-Term-Timeout,Recognizer,[RFC6787]
Dtmf-Term-Char,Recognizer,[RFC6787]
Failed-URI,Recognizer,[RFC6787]
Failed-URI-Cause,Recognizer,[RFC6787]
Save-Waveform,Recognizer,[RFC6787]
Media-Type,Recognizer,[RFC6787]
New-Audio-Channel,Recognizer,[RFC6787]
Speech-Language,Recognizer,[RFC6787]
Ver-Buffer-Utterance,Recognizer,[RFC6787]
Recognition-Mode,Recognizer,[RFC6787]
Cancel-If-Queue,Recognizer,[RFC6787]
Hotword-Max-Duration,Recognizer,[RFC6787]
Hotword-Min-Duration,Recognizer,[RFC6787]
Interpret-Text,Recognizer,[RFC6787]
Dtmf-Buffer-Time,Recognizer,[RFC6787]
Clear-Dtmf-Buffer,Recognizer,[RFC6787]
Early-No-Match,Recognizer,[RFC6787]
Num-Min-Consistent-Pronunciations,Recognizer,[RFC6787]
Consistency-Threshold,Recognizer,[RFC6787]
Clash-Threshold,Recognizer,[RFC6787]
Personal-Grammar-URI,Recognizer,[RFC6787]
Enroll-Utterance,Recognizer,[RFC6787]
Phrase-ID,Recognizer,[RFC6787]
Phrase-NL,Recognizer,[RFC6787]
Weight,Recognizer,[RFC6787]
Save-Best-Waveform,Recognizer,[RFC6787]
New-Phrase-ID,Recognizer,[RFC6787]
Confusable-Phrases-URI,Recognizer,[RFC6787]
Abort-Phrase-Enrollment,Recognizer,[RFC6787]
Sensitivity-Level,Recorder,[RFC6787]
No-Input-Timeout,Recorder,[RFC6787]
Completion-Cause,Recorder,[RFC6787]
Completion-Reason,Recorder,[RFC6787]
Failed-URI,Recorder,[RFC6787]
Failed-URI-Cause,Recorder,[RFC6787]
Record-URI,Recorder,[RFC6787]
Media-Type,Recorder,[RFC6787]
Max-Time,Recorder,[RFC6787]
Trim-Length,Recorder,[RFC6787]
Final-Silence,Recorder,[RFC6787]
Capture-on-Speech,Recorder,[RFC6787]
Ver-Buffer-Utterance,Recorder,[RFC6787]
Start-Input-Timers,Recorder,[RFC6787]
New-Audio-Channel,Recorder,[RFC6787]
Repository-URI,Verifier,[RFC6787]
Voiceprint-Identifier,Verifier,[RFC6787]
Verification-Mode,Verifier,[RFC6787]
Adapt-Model,Verifier,[RFC6787]
Abort-Model,Verifier,[RFC6787]
Min-Verification-Score,Verifier,[RFC6787]
Num-Min-Verification-Phrases,Verifier,[RFC6787]
Num-Max-Verification-Phrases,Verifier,[RFC6787]
No-Input-Timeout,Verifier,[RFC6787]
Save-Waveform,Verifier,[RFC6787]
Media-Type,Verifier,[RFC6787]
Waveform-URI,Verifier,[RFC6787]
Voiceprint-Exists,Verifier,[RFC6787]
Ver-Buffer-Utterance,Verifier,[RFC6787]
Input-Waveform-URI,Verifier,[RFC6787]
Completion-Cause,Verifier,[RFC6787]
Completion-Reason,Verifier,[RFC6787]
Speech-Complete-Timeout,Verifier,[RFC6787]
New-Audio-Channel,Verifier,[RFC6787]
Abort-Verification,Verifier,[RFC6787]
Start-Input-Timers,Verifier,[RFC6787]
Input-Type,Verifier,[RFC6787]
