Value,Name,Reference
0,BGP4MP_STATE_CHANGE,[RFC6396]
1,BGP4MP_MESSAGE,[RFC6396]
2,BGP4MP_ENTRY (DEPRECATED),[RFC6396]
3,BGP4MP_SNAPSHOT (DEPRECATED),[RFC6396]
4,BGP4MP_MESSAGE_AS4,[RFC6396]
5,BGP4MP_STATE_CHANGE_AS4,[RFC6396]
6,BGP4MP_MESSAGE_LOCAL,[RFC6396]
7,BGP4MP_MESSAGE_AS4_LOCAL,[RFC6396]
8,BGP4MP_MESSAGE_ADDPATH,[RFC8050]
9,BGP4MP_MESSAGE_AS4_ADDPATH,[RFC8050]
10,BGP4MP_MESSAGE_LOCAL_ADDPATH,[RFC8050]
11,BGP4MP_MESSAGE_AS4_LOCAL_ADDPATH,[RFC8050]
12-65534,Unassigned,
65535,Reserved,[RFC6396]
