Value,Name,Reference
0,Reserved,[RFC6396]
1,PEER_INDEX_TABLE,[RFC6396]
2,RIB_IPV4_UNICAST,[RFC6396]
3,RIB_IPV4_MULTICAST,[RFC6396]
4,RIB_IPV6_UNICAST,[RFC6396]
5,RIB_IPV6_MULTICAST,[RFC6396]
6,RIB_GENERIC,[RFC6396]
7,GEO_PEER_TABLE,[RFC6397]
8,RIB_IPV4_UNICAST_ADDPATH,[RFC-ietf-grow-mrt-add-paths-03]
9,RIB_IPV4_MULTICAST_ADDPATH,[RFC-ietf-grow-mrt-add-paths-03]
10,RIB_IPV6_UNICAST_ADDPATH,[RFC-ietf-grow-mrt-add-paths-03]
11,RIB_IPV6_MULTICAST_ADDPATH,[RFC-ietf-grow-mrt-add-paths-03]
12,RIB_GENERIC_ADDPATH,[RFC-ietf-grow-mrt-add-paths-03]
13-65534,Unassigned,
65535,Reserved,[RFC6396]
