Value,Description,Reference
200,Success,[RFC4975]
400,Unintelligible,[RFC4975]
401,Unauthorized,[RFC4976]
403,Action-not-allowed,[RFC4975]
404,Failure to resolve recipient's URI,[RFC7701]
408,Transaction-did-not-complete-in-allotted-time,[RFC4975]
413,Stop-sending-message,[RFC4975]
415,MIME-not-understood,[RFC4975]
423,Parameter-out-of-bounds,[RFC4975]
424,Malformed nickname,[RFC7701]
425,Nickname reserved or already in use,[RFC7701]
428,Private messages not supported,[RFC7701]
481,Session-does-not-exist,[RFC4975]
501,Request-method-not-understood,[RFC4975]
506,Session-already-in-use,[RFC4975]
