Address(es),Description,References,Change Controller,Date Registered,Last Reviewed
0,SAP Session Announcement Protocol,[Mark_Handley],,1998-12-01,
1,MADCAP Protocol,[RFC2730],,,
2,SLPv2 Discovery,[Erik_Guttman],,2001-12-01,
3,MZAP,[Dave_Thaler],,2000-06-01,
4,Multicast Discovery of DNS Services,[Bill_Manning],,1999-08-01,
5,SSDP,[UPnP_Forum],,2006-06-27,
6,DHCP v4,[Eric_Hall],,1999-10-01,
7,AAP,[Stephen_Hanna],,2000-07-01,
8,MBUS,[RFC3259],,,
9,UPnP,[UPnP_Forum],,2006-06-27,
10,MCAST-TEST-NET-2,[RFC6676],,,
11-252,Unassigned,,,,
253,Reserved,,,,
254,RFC3692-style Experiment (*),[RFC4727],,,
255,Unassigned,,,,
