Recallable Object Type Name,Value,RFC,How,Minor Versions
RCA4_TYPE_MASK_RDATA_DLG,0,[RFC5661],N,1
RCA4_TYPE_MASK_WDATA_DLG,1,[RFC5661],N,1
RCA4_TYPE_MASK_DIR_DLG,2,[RFC5661],N,1
RCA4_TYPE_MASK_FILE_LAYOUT,3,[RFC5661],N,1
RCA4_TYPE_MASK_BLK_LAYOUT,4,[RFC5661],L,1
Unassigned,5-7,,,
RCA4_TYPE_MASK_OBJ_LAYOUT_MIN,8,[RFC5661],L,1
RCA4_TYPE_MASK_OBJ_LAYOUT_MAX,9,[RFC5661],L,1
Unassigned,10-11,,,
Reserved for Private Use,12-15,[RFC5661],L,1
RCA4_TYPE_MASK_FF_LAYOUT_MIN,16,[RFC-ietf-nfsv4-flex-files-19],L,1
RCA4_TYPE_MASK_FF_LAYOUT_MAX,17,[RFC-ietf-nfsv4-flex-files-19],L,1
Unassigned,18-4294967295,,,
