Label,Meaning,Reference
AUTHINFO,Authentication,[RFC4643]
HDR,Batched header retrieval,[RFC3977]
IHAVE,IHAVE command available,[RFC3977]
IMPLEMENTATION,Server implementation-specific information,[RFC3977]
LIST,LIST command variants,[RFC3977][RFC6048]
MODE-READER,"Mode-switching server and MODE                
READER command available",[RFC3977]
NEWNEWS,NEWNEWS command available,[RFC3977]
OVER,Overview support,[RFC3977]
POST,POST command available,[RFC3977]
READER,Reader commands available,[RFC3977]
SASL,Supported SASL mechanisms,[RFC4643]
STARTTLS,Transport layer security,[RFC4642]
STREAMING,Streaming feeds,[RFC4644]
VERSION,Supported NNTP versions,[RFC3977]
