Value,Description,Reference
0x00,Subscriber Identifier,[RFC8979]
0x01,Performance Policy Identifier,[RFC8979]
0x02,MAC and Encrypted Metadata #1,[RFC9145]
0x03,MAC and Encrypted Metadata #2,[RFC9145]
0x04,Forwarding Context,[RFC-ietf-sfc-nsh-tlv-15]
0x05,Tenant Identifier,[RFC-ietf-sfc-nsh-tlv-15]
0x06,Ingress Network NodeID,[RFC-ietf-sfc-nsh-tlv-15]
0x07,Ingress Network Interface,[RFC-ietf-sfc-nsh-tlv-15]
0x08,Flow ID,[RFC-ietf-sfc-nsh-tlv-15]
0x09,Source and/or Destination Groups,[RFC-ietf-sfc-nsh-tlv-15]
0x0A,Policy Identifier,[RFC-ietf-sfc-nsh-tlv-15]
0x0B-0xFF,Unassigned,
