Value,Description,Reference
0x000,Reserved,[RFC5974]
0x001,RII,[RFC5974]
0x002,RSN,[RFC5974]
0x003,REFRESH-PERIOD,[RFC5974]
0x004,BOUND-SESSION-ID,[RFC5974]
0x005,PACKET-CLASSIFIER,[RFC5974]
0x006,INFO-SPEC,[RFC5974]
0x007,SESSION-ID-LIST,[RFC5974]
0x008,RSN-LIST,[RFC5974]
0x009,MSG-ID,[RFC5974]
0x00A,BOUND-MSG-ID,[RFC5974]
0x00B,QSPEC,[RFC5974]
0x00C,NATFW_LT,[RFC5973]
0x00D,NATFW_EXTERNAL_IP,[RFC5973]
0x00E,NATFW_EXTERNAL_BINDING,[RFC5973]
0x00F,NATFW_EFI,[RFC5973]
0x010,NATFW_INFO,[RFC5973]
0x011,NATFW_NONCE,[RFC5973]
0x012,NATFW_MSN,[RFC5973]
0x013,NATFW_DTINFO,[RFC5973]
0x014,NATFW_ICMP_TYPES,[RFC5973]
0x015,NODE_CAPABILITY_TUNNEL,[RFC5979]
0x016,SESSION_AUTH_OBJECT,[RFC5981]
0x017-0x7CF,Unassigned,
0x7D0-0x7FF,Reserved for Private/Experimental Use,[RFC5974]
0x800-0xFFF,Reserved,[RFC5974]
