Name,Usage Location,Protocol Extension,Change Controller,Reference
invalid_request,resource access error response,bearer access token type,IETF,[RFC6750]
invalid_token,resource access error response,bearer access token type,IETF,[RFC6750]
insufficient_scope,resource access error response,bearer access token type,IETF,[RFC6750]
unsupported_token_type,revocation endpoint error response,token revocation endpoint,IETF,[RFC7009]
interaction_required,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
login_required,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
session_selection_required,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
consent_required,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
invalid_request_uri,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
invalid_request_object,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
request_not_supported,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
request_uri_not_supported,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
registration_not_supported,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
