Name,Parameter Usage Location,Change Controller,Reference
client_id,"authorization request, token request",IETF,[RFC6749]
client_secret,token request,IETF,[RFC6749]
response_type,authorization request,IETF,[RFC6749]
redirect_uri,"authorization request, token request",IETF,[RFC6749]
scope,"authorization request, authorization response, token request, token response",IETF,[RFC6749]
state,"authorization request, authorization response",IETF,[RFC6749]
code,"authorization response, token request",IETF,[RFC6749]
error,"authorization response, token response",IETF,[RFC6749]
error_description,"authorization response, token response",IETF,[RFC6749]
error_uri,"authorization response, token response",IETF,[RFC6749]
grant_type,token request,IETF,[RFC6749]
access_token,"authorization response, token response",IETF,[RFC6749]
token_type,"authorization response, token response",IETF,[RFC6749]
expires_in,"authorization response, token response",IETF,[RFC6749]
username,token request,IETF,[RFC6749]
password,token request,IETF,[RFC6749]
refresh_token,"token request, token response",IETF,[RFC6749]
nonce,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
display,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
prompt,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
max_age,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
ui_locales,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
claims_locales,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
id_token_hint,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
login_hint,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
acr_values,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
claims,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
registration,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
request,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
request_uri,authorization request,[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
id_token,"authorization response, access token response",[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-core-1_0.html]
session_state,"authorization response, access token response",[OpenID_Foundation_Artifact_Binding_Working_Group],[http://openid.net/specs/openid-connect-session-1_0.html]
assertion,token request,IESG,[RFC7521]
client_assertion,token request,IESG,[RFC7521]
client_assertion_type,token request,IESG,[RFC7521]
code_verifier,token request,IESG,[RFC7636]
code_challenge,authorization request,IESG,[RFC7636]
code_challenge_method,authorization request,IESG,[RFC7636]
claim_token,"client request, token endpoint",[Kantara_UMA_WG],"[UMA 2.0 Grant for OAuth 2.0, Section 3.3.1]"
pct,"client request, token endpoint",[Kantara_UMA_WG],"[UMA 2.0 Grant for OAuth 2.0, Section 3.3.1]"
pct,"authorization server response, token endpoint",[Kantara_UMA_WG],"[UMA 2.0 Grant for OAuth 2.0, Section 3.3.5]"
rpt,"client request, token endpoint",[Kantara_UMA_WG],"[UMA 2.0 Grant for OAuth 2.0, Section 3.3.1]"
ticket,"client request, token endpoint",[Kantara_UMA_WG],"[UMA 2.0 Grant for OAuth 2.0, Section 3.3.1]"
upgraded,"authorization server response, token endpoint",[Kantara_UMA_WG],"[UMA 2.0 Grant for OAuth 2.0, Section 3.3.5]"
vtr,"authorization request, token request",IESG,[RFC8485]
